HIEDUC,Disagree,Agree,Other,Total,Percent agree
High school degree,3034,2361,59,5454,43.29
Graduate degree,368,312,12,692,45.09
College degree,1610,1065,45,2720,39.15
No high school degree,1661,1732,20,3413,50.75
