HIEDUC,Disagree,Agree,Other,Total,Percent agree
High school degree,1651,1070,12,2733,39.15
College degree,828,375,7,1210,30.99
No high school degree,641,622,6,1269,49.01
Graduate degree,243,139,7,389,35.73
