HIEDUC,Disagree,Agree,Other,Total,Percent agree
No high school degree,663,671,31,1365,49.16
College degree,483,345,23,851,40.54
High school degree,1277,1131,56,2464,45.90
Graduate degree,123,119,6,248,47.98
