HIEDUC,Agree,Disagree,Other,Total,Percent agree
No high school degree,979,691,33,1703,40.58
High school degree,1722,1975,98,3795,52.04
College degree,734,943,47,1724,54.70
Graduate degree,184,219,18,421,52.02
