date,company,category,various_applications,aircraft,location
3/24/15,"Aeryon Labs, Inc",Manufacturer,False,Aeryon SkyRanger,Canada
3/24/15,"Oceaneering International, Inc.",Utilities/Energy/Infrastructure,False,"Wookong DJI S800, Aeronavics X4 Titanium",TX
3/24/15,"Industrial Aerobotics, LLC","Utilities/Energy/Infrastructure, Agriculture",False,Industrial Aerobotics SD02,AZ
3/24/15,"MicroCopter Professional Services, Inc.",Photo/Film,False,"Tarot T-15 (octocopter), Tarot 960, Tarot 690 (hexacopters)",PR
3/24/15,Steven Zeets,"Utilities/Energy/Infrastructure, Agriculture, Government Contracting, Conservation",True,"DJI S1000, DJI Phantom 2, DJI Phantom 2 Vision+, ARF-MikroKopter OktoXL, ARF-Mikrikopter OktoXL 6S12, RITEWING Z3 Spade 47"", RITEWING Z3 Spade 70"", RITEWING Z4 Spade 52""",IA
3/24/15,Jeffrey J. Walsh,"Utilities/Energy/Infrastructure, Agriculture, Government Contracting, Conservation",True,"ALIGN TREX 500E, RITEWING Z3 Spade 47"", RITEWING Z4 Spade 52"", RITEWING Z3 Spade 70",MN
3/26/15,San Diego Gas and Electric Company,Utilities/Energy/Infrastructure,False,"InstantEye Mk-2 Gen, InstantEye Mk-2 Gen3, Pulse Aerospace Vapor 35, Vapor 55, PrecisionHawk Lancaster Hawkeye",CA
3/26/15,Southern Electric Company,Utilities/Energy/Infrastructure,False,"SkyRanger, DJI Inspire 1, DJI Phantom 2 Vision Plus, SenseFly eBee, SkyCatch",GA
3/26/15,"Utility Aerial Services, Inc.",Utilities/Energy/Infrastructure,False,Aerialtronics Zenith ATX8,GA
3/26/15,Phoenix Air UNMANNED,"Utilities/Energy/Infrastructure, Photo/Film",False,"Pulse Vapor 35, Vulcan Octo, Pulse Aerospace Vapor 55 UAS",GA
3/26/15,"Aerius Flight, LLC",Agriculture,False,"Walkera Scout X4, DJI S900",MI
4/3/15,Videe This! Inc. dba Yeah Drones,Photo/Film,False,"DJI S900, DJI Phantom 2, DJI Inspire 1, DJI Phantom 3",NY
4/3/15,"Shotwell Media, LLC",Photo/Film,False,"DJI S1000, DJI S900, DJI Inspire 1, DJI Phantom 2",CA
4/3/15,"CineDrones, LLC",Photo/Film,False,"DJI S900, DJI S1000, DJI Inspire 1",FL
4/3/15,"Perfect View Aerial Media, LLC","Utilities/Energy/Infrastructure, Real Estate",False,DJI S1000,FL
4/3/15,"Advanced Aerial Inspection Resources, LLC",Utilities/Energy/Infrastructure,False,ASCTEC Falcon 8,TX
4/3/15,Danis Building Construction Company,Construction,False,DJI Phantom Vision 2+,OH
4/3/15,"Nixon Engineering Solutions, LLC",Utilities/Energy/Infrastructure,False,DJI S800 EVO,LA
4/3/15,"AirRaid Aerials, LLC","Utilities/Energy/Infrastructure, Photo/Film",False,"CineStar 8, DJI Inspire 1 and Gryphon Dynamics X8 ",NC
4/3/15,United Services Automobile Association,Insurance,False,PrecisionHawk Lancaster HawkEye,TX
4/3/15,"AIG PC Global Services, Inc.",Insurance,False,"Hawkeye Lancaster MK-III, 3DR IRIS+, DJI Phantom 2 Vision, SenseFly eBee",NY
4/3/15,"Marek Management, Inc.",Utilities/Energy/Infrastructure,False,SkyWard 1,FL
4/3/15,Monterey Drone,"Photo/Film, Real Estate, Agriculture, Utilities/Energy/Infrastructure",True,DJI Phantom 2,CA
4/3/15,Elevated Perspective Media,Photo/Film,False,"Aervonics Sky Jib, Vulcan, DJI S1000, Xfoldrig",RI
4/3/15,"Hawaii AirVision, LLC",Photo/Film,False,DJI S1000,HI
4/3/15,"HUVRData, LLC","Utilities/Energy/Infrastructure, Agriculture",False,AscTec (Ascending Technologies) Falcon 8,TX
4/3/15,"ETAK Systems, Inc.",Utilities/Energy/Infrastructure,False,"DJI Phantom 2, DJI Phantom 2 Vision+, DJI Phantom 3 ",NC
4/3/15,Darling Geomatics,"Utilities/Energy/Infrastructure, Agriculture",False,SenseFly eBee,AZ
