Date ,Company,Category,Aircraft,Location,Description,
3/6/15,FalconSkyCam,"Photo/Film, Real Estate, Agriculture",DJI Phantom 2,CA,"Aerial photography for real estate, surveying, marine photo and video, agriculture, and special events.",
3/11/15,"Build Imagery, LLC","Photo/Film, Construction, Utilities/Energy/Infrastructure","3d Robotics Iris+, DJI Inspire 1, 3D Robotics Solo",CA,"Aerial photography of architectural, engineering, and construction industry sites; motion picture and television operations. (Amended 7/8/2015)",
3/12/15,Quiet Creek Corporation,Agriculture,SenseFly eBee,AZ,Mapping and precision agriculture operations.,
3/12/15,BNSF Railway Company,Utilities/Energy/Infrastructure,"AirRobot AR180, AirRobot AR200, 3DRobotics Spektre Industrial Multi-Rotor Aerial Vehicle",TX,Evaluation and analysis of railroad infrastructure and operations.,
3/13/15,Sky-Futures UAS Inc.,Utilities/Energy/Infrastructure,AscTec Falcon 8 UAS,TX,Oil and gas platform inspections on land and over water.,
3/13/15,Aetos Group Inc.,Utilities/Energy/Infrastructure,"Aeryon Scout, Aeryon SkyRanger",MI,"Aerial inspection of plant infrastructure, to include flare stacks, elevated pipelines, tanks and columns, and environmental monitoring in the petrochemical industry.",
3/20/15,Notus Access Group,Utilities/Energy/Infrastructure,InstantEye Mk‰ÛÒ2,WA,Aerial inspections of wind turbine blades and towers.,
3/20/15,Mike Johnson,Construction,DJI Phantom 2 Vision+,KY,Roof inspections.,
3/20/15,"Solusia Air, LLC",Utilities/Energy/Infrastructure,"Aibotix, Aibot X6 V2",GA,"Telecommunications and utility structure inspection, construction, and maintenance services.",
3/20/15,Saratoga Aerial Photo and Video,Photo/Film,DJI Phantom 2 Vision+,NY,Aerial photography.,
3/20/15,"Aerial Production Services, Inc.",Photo/Film,DJI Phantom 2,CO,Aerial photography and inspection.,
3/24/15,Wilbur-Ellis Company,Agriculture,HoneyComb AgDrone,CA,Precision agriculture survey and inspection operations.,
3/24/15,"Montico, Inc.",Utilities/Energy/Infrastructure,"DJI Phantom 2 Vision+, Steadidrone Mavrik, Align M690L, Aeryon Labs Skyranger, Aeryon Labs Scout, Aibotix X6, DJI Inspire",CA,Tower inspections and mapping operations to an existing tower structure. (Amended 7/10/2015),
3/24/15,"Vision Services Group, LLC",Agriculture,"C-Astral: Bramor gEO, Volt Aerial Robotics: Octane, and Aeromao: AeroMapper 300, DJI S900",GA,"Collection of actionable data for use by agronomists, crop consultants, and forestry professionals. (Amended 6/3/15)",
3/24/15,"NextEra Energy, Inc.",Utilities/Energy/Infrastructure,"DJI Phantom 2 Vision Plus, DJI Inspire I (T600), DJI S900",FL,Inspections of energy infrastructure.,
3/24/15,"EnviroMINE, Inc.",Utilities/Energy/Infrastructure,SenseFly eBee,CA,"Operations over areas of California and western Arizona suitable for, or in use by, surface mining.",
3/24/15,"Aeryon Labs, Inc",Manufacturer,Aeryon SkyRanger,Canada,"Market research, aerial surveys, mapping and inspections.",
3/24/15,"Oceaneering International, Inc.",Utilities/Energy/Infrastructure,"Wookong DJI S800, Aeronavics X4 Titanium",TX,Safety inspections and aerial surveying.,
3/24/15,"Industrial Aerobotics, LLC","Utilities/Energy/Infrastructure, Agriculture",Industrial Aerobotics SD02,AZ,Precision aerial surveys.,
3/24/15,"MicroCopter Professional Services, Inc.",Photo/Film,"Tarot T-15 (octocopter), Tarot 960, Tarot 690 (hexacopters)",PR,Aerial filming and inspections.,
3/24/15,Steven Zeets,"Utilities/Energy/Infrastructure, Agriculture, Government Contracting, Conservation","DJI S1000, DJI Phantom 2, DJI Phantom 2 Vision+, ARF-MikroKopter OktoXL, ARF-Mikrikopter OktoXL 6S12, RITEWING Z3 Spade 47‰Ûù, RITEWING Z3 Spade 70‰Ûù, RITEWING Z4 Spade 52‰Ûù",IA,"Aerial acquisition and research in support of Government entities, agriculture industry, utility companies, local infrastructure, scientific studies, wildlife monitoring, mining, surveying, and forestry.",
3/24/15,Jeffrey J. Walsh,"Utilities/Energy/Infrastructure, Agriculture, Government Contracting, Conservation","ALIGN TREX 500E, RITEWING Z3 Spade 47‰Ûù, RITEWING Z4 Spade 52‰Ûù, RITEWING Z3 Spade 70",MN,"Aerial acquisition and research in support of Government entities, agriculture industry, utility companies, local infrastructure, scientific studies, wildlife monitoring, mining, surveying, and forestry.",
3/26/15,San Diego Gas and Electric Company,Utilities/Energy/Infrastructure,"InstantEye Mk-2 Gen, InstantEye Mk-2 Gen3, Pulse Aerospace Vapor 35, Vapor 55, PrecisionHawk Lancaster Hawkeye",CA,"Aerial inspections of electric and gas facilities, including emergency response damage assessments. (Amended 5/7/15)",
3/26/15,Southern Electric Company,Utilities/Energy/Infrastructure,"SkyRanger, DJI Inspire 1, DJI Phantom 2 Vision Plus, SenseFly eBee, SkyCatch",GA,Research on the applicability of UAS when assessing damage to power lines due to storm events and performing routine power line inspection. (Amended 8/19/15) ,
3/26/15,"Utility Aerial Services, Inc.",Utilities/Energy/Infrastructure,Aerialtronics Zenith ATX8,GA,Utility-power generation inspections and patrols.,
3/26/15,Phoenix Air UNMANNED,"Utilities/Energy/Infrastructure, Photo/Film","Pulse Vapor 35, Vulcan Octo, Pulse Aerospace Vapor 55 UAS",GA,"Flare stack inspection; utility-power, generation system inspections and, patrolling; pipeline inspection and patrolling; filmmaking, cinematography, and videography; precision agriculture; wildlife and forestry monitoring; aerial surveying; construction site inspection and monitoring, public entity support operations, and closed-set motion picture and television filming. (Amended 6/3/15)",
3/26/15,"Aerius Flight, LLC",Agriculture,"Walkera Scout X4, DJI S900",MI,"Collection of actionable data for use by agronomists, crop consultants, and forestry professionals.",
4/3/15,Videe This! Inc. dba Yeah Drones,Photo/Film,"DJI S900, DJI Phantom 2, DJI Inspire 1, DJI Phantom 3",NY,Closed-set filming and aerial photography. (Amended 6/23/15),
4/3/15,"Shotwell Media, LLC",Photo/Film,"DJI S1000, DJI S900, DJI Inspire 1, DJI Phantom 2",CA,Closed-set filming and aerial photography.,
