Date ,Company,Category,Aircraft,Location,Description,
5/5/15,"Mowrey Seismic, Inc.",Utilities/Energy/Infrastructure ,Sensefly eBee,WY,Precision engineering and geophysical applications. ,
5/5/15,Troy Built Models,Education,DJI Phantom 2 Vision+,FL,Training and education.,
5/5/15,C.E.T Aviation,Photo/Film,"DJI Flame Wheel F550, Zeta Science Buffalo FX-79 ",CT,Aerial filming and photography that will support the needs of the advertising and marketing in a variety of industries. (Amended 7/21/2015),
5/5/15,"HAZON Solutions, LLC",Insurance,"DJI Phantom 2, DJI S1000+, Draganflyer X4-ES, Penguin V2,  Fire Fly 6",VA,"Crisis response support, including search and rescue, damage assessment, insurance claims assessment, and enhancing disaster site situational awareness for first responders.",
5/5/15,"Vertical Sciences, Inc","Utilities/Energy/Infrastructure, Construction","DJI S-1000+, DJI Phantom 2 Vision+",CA,"Mapping, geotechnical, and survey applications.",
5/5/15,"Advanced Aerial Cinematography, LLC",Photo/Film,Cinestar 8,GA,"Aerial videography and photography for closed set filming for the motion picture, television, and commercial videography industry.",
5/5/15,"The Travelers Companies, Inc",Emergency Services,"3DR IRIS+, DJI Phantom 2",CT,Operations in support of its catastrophe response strategy.,
5/5/15,"Take Flight UAS, LLC","Agriculture, Utilities/Energy/Infrastructure, Conservation, Emergency Services, Scientific Studies","3DRobotics X8+, Bormatec Maja UAV",ID,"Aerial imagery operations in support of precision production agriculture, natural resource monitoring, university and private research, climate change observations, humanitarian relief efforts, and emergency services.",
5/5/15,Michael Carey Goudeau,Photo/Film,DJI Phantom 2 Vision+,NV,Aerial videography and cinematography.,
5/5/15,Turner Industries‰öÕIntegrated Solutions Group Houston Office,"Construction, Utilities/Energy/Infrastructure",DJI Phantom 2 Vision+,TX,"Aerial photography, surveys, and assessments of industrial facilities, and construction sites.",
5/5/15,Cobblestone Realty LLC,Real Estate,DJI Phantom 2,IN,Aerial videography and cinematography.,
5/5/15,"Rimkus Consulting Group, Inc.",Construction,DJI Phantom 2 Vision+,TX,Aerial inspections and surveys of structures and facilities as part of forensic evaluations.,
5/5/15,"Michael‰Ûªs Drone Photography, L.L.C",Photo/Film,DJI Phantom 1,AZ,Aerial photography and videography.,
5/5/15,Jeff Skelley Studio,Photo/Film,DJI Inspire 1,AZ,"Aerial photography, videography and data collection.",
5/5/15,"Skycatch, Inc.",Agriculture,Skycatch vertical takeoff and vertical landing (VTOL) quadrotor,CA,Aerial imaging of crop health and other agricultural use cases.,
5/5/15,"High Adventure Air, Inc.","Agriculture, Construction, Emergency Services",DJI Inspire 1,MI,"Aerial acquisitions, research, and inspections, videography, gathering of agricultural data, natural resources, conservation, construction, infrastructure management and inspections, monitoring assessments, search and rescue operations, and reconnaissance in support of disaster or emergency situations.",
5/5/15,Christopher Gardner,Photo/Film,DJI Inspire 1,FL,"Aerial photography, inspection, videography and cinematography.",
5/5/15,"American Drones, L.L.C.        ","Utilities/Energy/Infrastructure, Scientific Studies, Conservation, Agriculture, Government Contracting",American Drones L.L.C. Phoenix 650,OK,"Aerial acquisitions and research in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil and gas industries. Aerial Photography, American Made Drone Shop. List of UAS: Phoenix 650, Nighthawk 550, Eagle 550, Falcon 550 (330 Exemptions for Nighthawk, Eagle listed on 5/8/2015)",
5/5/15,United Dynamics AT Technologies Corp.,Utilities/Energy/Infrastructure ,DJI S800 Hex-rotor,KY,Aerial videography/cinematography to enhance safety and reliability of power generation utilities.,
5/5/15,"Aerial Inspection Resources, Inc",Utilities/Energy/Infrastructure ,DJI Spreading Wings S1000,OR,"Examination and monitoring of power lines, pipelines and related utility structures.",
5/7/15,"enrGies, Inc",Education,"Lockheed Martin Desert Hawk III, DJI Phantom Vision +, Precision Lancaster MK3, Aeromao Talon, Aeromao Aeromapper 300, Aeromao Aeromapper EV-2, DJI Inspire, Sensefly eBee, Aeryon Labs Skyranger, Aeryon Labs Scout, AIBOTIX X6, Tactical Robotics InstantEye, DJI Phantom3, DJI S800, DJI S900, DJI S1000",AL,"Aerial video and data gathering in support of federal, state and local government agencies as well as the following private commercial ventures: basic photography, precision agriculture, pipeline/power line transmission/distribution towers, oil and gas facilities (on & off shore), manmade/natural disaster damage assessment, support to first responders, security, construction, research, wildlife and wildfire monitoring, real estate, local infrastructure, railroad infrastructure, surveying, scientific studies, insurance functions, training, mining and UAS research and development. (Amended 5/7/15)",
5/8/15,"Charles A. Brisbane, Inc.",Photo/Film,DJI Phantom 2 Vision+,NY,"Aerial photography, cinematography, and videography.",
5/8/15,Unmanned Sensing Systems LLC,Agriculture,US2 GreenHawk,NJ,Precision aerial survey operations for the primary benefit of agricultural sensing and data gathering.,
5/8/15,"Silver Fern Homes, LLC","Real Estate, Photo/Film",DJI Phantom 2 Vision+,CO,"Aerial videography and photography for hobby and recreational purposes, as well as, marketing and promotional purposes in the real estate industry.",
5/8/15,Secher Site Specific LLC,Agriculture,DJI Phantom 2 Vision,MI,Assess the damage for replant or crop insurance claims and determine possible equipment problems affecting yield.,
5/8/15,Secher Site Specific LLC,Agriculture,AgEagle,MI,Photogrammetry and crop scouting in order to perform precision agriculture.,
5/8/15,American Drones LLC,"Manufacturer, Utilities/Energy/Infrastructure, Government Contracting, Agriculture, Scientific Studies, Conservation",American Drones L.L.C. Eagle UAS,OK,"Aerial acquisitions and research in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil and gas industries.",
5/8/15,American Drones LLC,"Manufacturer, Utilities/Energy/Infrastructure, Government Contracting, Agriculture, Scientific Studies, Conservation",American Drones L.L.C. Nighthawk UAS,OK,"Aerial acquisitions and research in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil and gas industries.",
5/8/15,"Right Angle Photography, LLC",Photo/Film,DJI Phantom 2 Vision+,MA,"Aerial imaging, photography, and videography of properties.",
5/8/15,"Pete's Precision Photo, LLC",Photo/Film,"DJI Phantom 2 Vision, DJI Phantom 2 Vision+",CT,"Aerial photography, cinematography, videography, and inspections. (Amended 8/14/15)",
5/11/15,ZuWerks Inc.,Photo/Film,"DJI Phantom 2, DJI S800 EVO, DJI Inspire 1",CA,"Cooling tower inspections, forestry, critical infrastructure inspections, wind turbine inspections, safety and security monitoring, radiation measurement, surveying, and mapping",
5/11/15,"Thomas' Wildlife Solutions, Inc.",Photo/Film,3D Robotics IRIS+,RI,"Aerial videography/cinematography for marketing, exterior structure inspections, and volunteer search and rescue missions.",
5/11/15,Pro Drones Canada Inc.,Utilities/Engineering/Infrastructure,MD4-200,Canada,"Oil and gas pipeline inspections, solar installation inspections, power line/cable inspections, cooling tower inspections, forestry, critical infrastructure inspections, wind turbine inspections, and radiation measurement and monitoring.",
5/11/15,Pro Drones Canada Inc.,Utilities/Engineering/Infrastructure,DT-18,Canada,"Oil and gas pipeline inspections, solar installation inspections, power line/cable inspections, cooling tower inspections, forestry, critical infrastructure inspections, wind turbine inspections, safety and security monitoring, radiation measurement, surveying, and mapping.",
5/11/15,Pro Drones Canada Inc.,Utilities/Engineering/Infrastructure,Microdrone MD4-1000,Canada,"Cooling tower inspections, forestry, critical infrastructure inspections, wind turbine inspections, safety and security monitoring, radiation measurement, surveying, and mapping",
5/11/15,"AeroVironment, Inc.","Manufacturer, Utilities/Engineering/Infrastructure",AeroVironment Shrike,CA,Inspecting fixed infrastructures in controlled environments.,
5/11/15,North Coast Flight School Inc.,"Photo/Film, Education",DJI Inspire 1,PA,"Aerial video, photography, and UAS training.",
5/11/15,AC Aerial Photography,Photo/Film,"DJI Phantom 2, Tarot 810",OH,Aerial videography and cinematography.,
5/11/15,SkyLynx LLC,"Photo/Film, Education","DJI Inspire 1, Model T600",AZ,"Aerial photography, video, and UAS training.",
5/11/15,"Leading Edge Associates, Inc.","Agriculture, Scientific Studies, Government Contracting",Leading Edge PrecisionVision 10,NC,"Conduct aerial acquisitions and research in support of government entities, agriculture, and scientific studies.",
5/11/15,"Lamac Engineering Company, Inc.",Construction,SenseFly eBee,IL,Mapping and survey applications.,
5/11/15,"M2 Flight Solutions, LLC",Utilities/Energy/Infrastructure,Skywalker Aero,AK ,Aerial photogrammetry for the purpose of 3d reconstructions.,
5/11/15,"Florida Aerial Services, Inc.",Photo/Film,"Steadidrone QU4D, DJI Inspire 1, DJI Phantom 3",FL,"Aerial photography for the media and advertising industries for pre-planned, controlled area, photographic and surveying services. (Amended 6/23/15.)",
5/11/15,"HAZON Solutions, LLC","Agriculture, Utilities/Energy/Infrastructure","DJI Phantom 2, DJI S1000+, Draganflyer X4-ES, Penguin V2, Fire Fly 6, Range Video RV Jet",VA,Precision agriculture inspections/data collections and aerial mapping.,
5/11/15,Melissa Maxwell,"Real Estate, Photo/Film",DJI Phantom 2 Vision+,KY,"Aerial videography, cinematography, and photography to enhance academic community awareness and to augment real estate listings.",
5/11/15,Littlebirds VIEW,Photo/Film,"Littlebirds VIEW X‰öÕ10, DJI Inspire 1",NC,"Aerial acquisitions of imagery in support of construction progress, production, and forestry survey",
5/11/15,Robert M. Serino,Photo/Film,DJI Phantom 2,MD,"Aerial photography, research and development, and volunteer services.",
5/11/15,"Titan Aerial, LLC",Photo/Film,DJI Phantom 2,TX,Aerial photography and videography.,
5/11/15,"Vertical Sciences, Inc.","Construction, Utilities/Energy/Infrastructure",SenseFly eBee,CA,"Data acquisition for land surveying, civil engineering design, and geological safety analysis.",
5/11/15,"Xcel Energy, Inc",Utilities/Energy/Infrastructure, DJI Spreading Wings S1000+,MN,Inspections of energy infrastructure.,
5/11/15,Lawrence Puchalski,Real Estate,DJI Phantom 2 Vision+,PA,"Aerial photography, inspections, real estate marketing, and surveys.",
5/11/15,"Stephenson Construction Management, LLC",Construction,DJI Inspire 1,FL,Aerial videography and cinematography to enhance academic community awareness and to augment real estate listings.,
5/11/15,"Clean Energy Renewables, LLC",Utilities/Energy/Infrastructure,Aibot X6 V2,IL,Aerial inspection of renewable wind power turbines.,
5/11/15,Zero Gravity Productions,Photo/Film,DJI Phantom 2,CA,Aerial photography and videography.,
5/11/15,"Jim Starwalt (Star Home Finders, Ltd)",Real Estate,DJI Phantom 2,IL,Aerial imaging and videography of communities and homes the petitioner list for sale.,
5/11/15,"Sydor Aerial Photography, LLC",Photo/Film,DJI Phantom 2 Vision,IN,"sUAS flights over privately owned property for the purpose of creating image maps, photographs, and videos.",
5/11/15,Northport Solutions LLC,Photo/Film,DJI Phantom,IN,Aerial photography and videography.,
5/11/15,Raecon Industries,Utilities/Energy/Infrastructure,Microdrone MD4-1000,WA,Aerial inspections of industrial assets and power structures.,
5/11/15,"Vision Pictures, LLC",Photo/Film,"DJI S1000, DJI Phantom 3, DJI S900, Aerigon ",CA,Aerial photography for the motion picture and television industry for scripted closed set filming. (Amended 7/21/2015),
5/11/15,"Integrated Media Technologies, Inc",Photo/Film,"DJI S1000+, DJI Inspire 1, xFold Cinema.",CA,Aerial photography and filming in motion picture and television operations. ,
5/11/15,Joshua A. Strunk,"Real Estate, Research",DJI Phantom 2 Vision+,CT,Aerial photography and cinematography to perform geographic studies and to augment real estate listings.,
5/11/15,"EDRM, Inc. DBA Midplains Ag.",Agriculture,SenseFly eBee,NE,Mapping and survey applications.,
5/11/15,"Atlantic Coast Conservancy, Inc",Conservation,DJI Phantom 2 Vision+,GA,"Aerial photography, mapping, surveying, and inspection.",
5/13/15,Mark Wages,Real Estate,DJI Phantom Vision 2+,NC,Aerial videography and cinematography.,
5/13/15,"Skyview Films, LLC",Photo/Film,DJI Phantom II,FL,Aerial videography.,
5/13/15,Gregory Dirk Sichel,Real Estate,DJI Inspire 1,FL,Aerial photography for the education of real estate professionals and real estate marketing purposes.,
5/13/15,"Air-Mods Flight Training Center, Inc.","Education, Photo/Film","Hubsan X4, DJI Phantom 2, DJI Inspire 1",NJ,"UAS training and aerial photography, videography, and inspections.",
5/13/15,AeroHarvest LLC,Agriculture,E384,CA,Precision photogrammetry and crop scouting at the resolutions necessary for precision agriculture.,
5/13/15,Thomas F. Landecker,Photo/Film,DJI Phantom 2 Vision+,CA,Aerial photography and videography.,
5/13/15,Helicopters West LLC,Photo/Film,"DJI Inspire 1, SkyJib 8",AZ,Aerial photography for the television and film industry.,
5/13/15,CDM Smith Inc,Utilities/Energy/Infrastructure,DJI Phantom 2 Vision,MA,"Aerial acquisitions in support of government entities, agriculture, scientific studies, railroad industry, and the oil and gas industries.",
5/13/15,Aviation Systems Engineering Company,Education,"DJI Inspire T600, DJI Phantom",FL,Technical demonstrations and training.,
5/13/15,GSC Surveying Inc,"Utilities/Energy/Infrastructure, Construction",PrecisionHawk Hawkeye Mk-III,NC,"Precision aerial surveys, including in the areas of construction, agriculture, mining, scientific studies, wildlife monitoring, forestry, and oil, power and gas industries.",
5/13/15,AgWorx Inc,"Agriculture, Conservation, Scientific Studies",PrecisionHawk Hawkeye Mk-III,NC,"Precision agriculture and aerial imaging, including areas of agriculture, scientific studies, wildlife monitoring, and forestry.",
5/13/15,Robinson Capital LLC,Real Estate,DJI Phantom 2 Vision+,ID,Aerial photography and videography for real estate.,
5/13/15,UAV Field Services Inc,"Utilities/Energy/Infrastructure, Insurance",DJI Phantom 2 Vision+,MD,"Aerial photography and videography for the insurance, utility, and telecommunications industries.",
5/13/15,Luxury Aerial Shots LLC,Real Estate,DJI Flamewheel F550,FL,Aerial photography of real estate and other possible flight operations.,
5/13/15,DroneWorks Inc,Photo/Film,DroneWorks i1,FL,Precision aerial surveys and photography.,
5/13/15,"AviTronics Integrated Solutions, LLC",Photo/Film,"DJI Phantom 2 Vision, 3DRobotics IRIS",TX,Aerial photography and digital cloud print surveys.        ,
5/13/15,"New Story Media, LLC",Photo/Film,"DJI Phantom 2, DJI Inspire 1",TX,"Aerial photography, videography, surveying and mapping.",
5/14/15,Wesley W. Myers,Photo/Film,"DJI Phantom 2, DJI Phantom 2 Vision, DJI Phantom 2 Vision+",FL,Low altitude aerial photography and videography.,
5/14/15,"Skycatch, Inc.",Construction,Skycatch,CA,Aerial imaging for safety and monitoring of secured and controlled environment construction sites.        ,
5/14/15,"Simon Feldman Studio, Inc.",Photo/Film,"DJI Phantom, DJI Inspire 1",NY,Aerial imaging and videography.,
5/14/15,Sydor Aerial Photography LLC        ,Utilities/Energy/Infrastructure,DJI Phantom 2 Vision,IN,"Operations involving creation of image maps, photographs, and videos of cellular phone towers.",
5/14/15,"Air-Mods Flight Training Center, Inc.",Education,"Hubsan X4, DJI Phantom 2, DJI Inspire 1",NJ,"Aerial video and/or photography, inspection, and training.",
5/14/15,Jeffrey D. Greer,Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1, DJI Phantom 3 Advanced, DJI Phantom 3 Professional",GA,Aerial videography and cinematography. (Amended 7/10/2015),
5/14/15,SkyScape Services LLC,Photo/Film,DJI Phantom 2,VA,Aerial videography and cinematography.,
5/14/15,"UAS Professionals, Inc.",Photo/Film,DJI Innovations S800,CO,Geographic information system and professional survey services.,
5/14/15,Flite Video LLC,Real Estate,"DJI Phantom 2 Vision+, DJI Phantom 3 Professional",CA,"Operations for real estate inspections, sales and advertising.",
5/14/15,"Robison Engineering Company, Inc.",Utilities/Energy/Infrastructure,SenseFly SA eBee RTK,NV,Aerial mapping of mine sites in Nevada and California.,
5/14/15,"iBusiness Technologies, LLC","Real Estate, Construction",DJI Inspire 1,PA,"Aerial acquisitions in support of the real estate industry, land survey industry, and construction industry.",
5/14/15,"Shutter Pilots, Inc.",Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1",ND,Aerial imaging and computer animation operations to provide two-dimensional and three-dimensional visualization services to support various industries.,
5/14/15,"Sanborn Map Company, Inc.",Photo/Film,Leptron Avenger,IL,Aerial surveying operations.,
5/14/15,Ascent Aerial Video Productions,"Photo/Film, Education, Real Estate","DJI Inspire 1, Yuneec Typhoon Q500",NV,"Aerial photos, videography, and cinematography for academic community awareness, to augment real estate property listing videos, and video production to small businesses.",
5/14/15,"HAZON Solutions, LLC",Agriculture,"DJI Phantom 2, DJI S1000+, Draganflyer X4-ES, Universeye Penguin V2, Birdseyeview FireFly 6, Range Video RVJet, DJI Phantom 1, DJI Inspire 1",VA,Agriculture inspection and data collection.,
5/14/15,Ikust LLC,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,TX,Aerial videography and cinematography including real estate listing pictures and videos.,
5/14/15,"Agri Tech Systems, LLC","Agriculture, Utilities/Energy/Infrastructure","Pulse Aerospace PA-01 Vapor, Pulse Aerospace Vapor 55",IA,"Research on the applicability of sUAS for field mapping, prescriptive chemical application mapping, comprehensive crop analysis, field moisture mapping, collision avoidance, cell tower inspection, pipeline inspection and power line inspection. (Amended 7/8/2015)",
5/14/15,"Ag Tech Enterprises, Inc.",Agriculture,PrecisionHawk Inc. Hawkeye Mk‰öÕ111,CA,"Aerial surveys, including in precision agriculture.",
5/14/15,Christopher James Scherr,"Photo/Film, Real Estate",DJI Phantom 2,MO,Videography and photography for real estate and to enhance community academic awareness.        ,
5/14/15,"HAZON Solutions, LLC",Photo/Film,"DJI Phantom 2, Draganflyer X4-ES sUAV, Universeye Penguin V2, Birdseyeview Aerobotics FireFly 6, Range Video RVJet, DJI S1000+",VA,Aerial imagery and videography.,
5/14/15,"National UAS Solutions, LLC",Real Estate,"DJI Phantom 2 Vision+, DJI Phantom 3, DJI Inspire, DJI S1000, Mozi Robotics Quadthrust 350",LA,Commercial training of sUAS pilots and videography and photography of real estate property. (Amended: 8/26/15),
5/14/15,"Mountain High Aviation, LLC","Agriculture, Utilities/Energy/Infrastructure, Photo/Film, Government Contracting, Construction","DJI S-1000, DJI Phantom 2, Riegl RiCopter, ARF-MikroKopter OktoXL, DJI Phantom 3",OR,"Aerial surveying, remote sensing, precision agriculture, aerial filmmaking and photography, public entity support operations, utility system inspections and patrolling, construction site inspection and monitoring, wildlife and forestry monitoring, educational and research operations, flare stack inspection, and pipeline inspection and patrolling. (Amended: 8/24/15)",
5/14/15,"Sydor Aerial Photography, LLC",Utilities/Energy/Infrastructure,DJI Phantom 2 Vision,IN,"Aerial image data collection on leased federally owned land in support of the ""New Energy Frontier"" initiative.",
5/14/15,Eagle-Eye Drone Service,Photo/Film,DJI Phantom 2 Vision+,MI,Aerial videography and cinematography.,
5/14/15,"Apis Remote Sensing Systems, LLC        ",Agriculture,AgEagle,KS,"Precision agriculture, market research, surveying, mapping and inspection.",
5/14/15,Lawrence Puchalski,"Utilities/Energy/Infrastructure, Real Estate, Photo/Film",Phantom 2 Vision+,PA,"Aerial photography, structural inspections of bridges, pipelines, well and cell towers, real estate marketing and surveys and other flight operations.        ",
5/14/15,Nantucket Aerial,Photo/Film,"DJI Phantom 2, DJI Phantom 2+",MA,Aerial still photography.,
5/14/15,Airborne Information Systems dba Aerial Patrol Incorporated,Utilities/Energy/Infrastructure,DJI S900 Hexacopter,AR,"Aerial photography, videography, thermal imaging, and inspection of electric transmission lines, electrical substations, gas pipelines, and associated telemetry equipment.",
5/14/15,Lewanui,Emergency Services,"DJI Phantom 2, DJI Inspire 1, DJI Phantom 3",HI,"Aerial survey, aerial photography and film and to assist search and rescue operations in remote areas. (Amended 7/10/2015)     ",
5/14/15,Wilson Security Agency,"Scientific Studies, Government Contracting",DJI Phantom 2 Vision,NC,"Aerial photographs and video in support of government entities, court ordered investigations, crime scene documentation, scientific studies, and private investigations.",
5/14/15,"Midstream Integrity Services, LLC",Utilities/Energy/Infrastructure,"DJI Phantom 2, S1000, S900, MU‰öÕ1H",TX,"Inspections of vertically developed structures, pipelines, right of ways, and provide cost effective aerial imagery services while also inspecting for hydrocarbon gas leaks",
5/14/15,Victory Improvement Professionals LLC        ,Construction,"DJI Phantom 2, DJI Phantom 3",IN,Aerial imaging to perform site inspections. (Amended: 8/25/15),
5/14/15,Sinclair Community College,Education,Altavian Nova F6500,OH,Educational research and training.        ,
5/14/15,"SkyWard IO, Inc.",Research,"DJI Spreading Wings S1000, 3D Robotics X82, 3D Robotics Iris3, DJI Phantom 24, DJI Phantom 2 Vision Plus5",OR,Research and development of sUAS and associated sUAS software within defined areas of operations.,
5/15/15,"RDX Aerial Media, LLC","Photo/Film, Real Estate",DJI Spreading Wings,CA,"Aerial videography/cinematography to enhance academic community awareness for those individuals and companies unfamiliar with the geographical layout of the Southern California area, and augment real estate listing videos",
5/15/15,Gary Huett,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,IN,"Aerial videography/cinematography to enhance academic community awareness, augment real estate listing videos, document accident scene locations, mapping, crop surveying, inspections and other flight operations.",
5/15/15,"Snake River Search, Inc.",Emergency Services,DJI Phantom 2 Vision+,ID,Search operations for missing persons.,
5/15/15,"Birds Eye Aerial Drones, LLC","Real Estate, Utilities/Energy/Infrastructure","Team Black Sheep Discovery Pro, Tarot T15, and DJI Inspire",CA,"Aerial filming and photographing to include: infrastructure inspections, aerial acquisition (mapping), real estate, and other applicable areas.",
5/15/15,"GeoWing Mapping, Inc.","Photo/Film, Utilities/Energy/Infrastructure",Altavian Nova F6500,CA,"Aerial acquisitions and research within the NAS, commercially, in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry, and the oil and gas industries.",
5/15/15,Aerial Appeal,"Photo/Film, Real Estate","DJI F550, DJI Phantom 2, DJI S800 EVO, DJI Inspire",TX,"Aerial filming and photography for coverage of events, enhanced real estate listings, and structural inspections.",
5/15/15,"DroneWorks, Inc","Photo/Film, Real Estate",DJI Inspire 1,FL,Aerial videography and cinematography to enhance academic community awareness and to augment real estate listing videos.,
5/15/15,"Sky Guardian, LLC","Agriculture, Utilities/Energy/Infrastructure, Government Contracting",DJI Phantom 2 Vision+,AZ,"Aerial acquisitions and research over rural and populated areas of the United States, commercially, in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil, gas, and mining industries.",
5/15/15,John Keller,"Photo/Film, Utilities/Energy/Infrastructure, Real Estate",DJI Phantom 2 Vision+,NC,"Aerial photography, structural inspections of bridges, pipelines, well and cell towers, real estate marketing, and surveys.",
5/15/15,Seth Hellinga,"Photo/Film, Real Estate",DJI Phantom 2+,IA,Aerial imaging and videography of real estate.,
5/15/15,"Bartram Trail Surveying, Inc",Construction,DJI Phantom FC40,FL,Surveying and mapping of secured and controlled vacant and under-development sites.,
5/15/15,"Midstream Integrity Services, LLC",Utilities/Energy/Infrastructure,DJI S900,TX,"Inspections of vertically developed structures, pipelines, right of ways, and hydrocarbon gas leaks.",
5/15/15,Rotary Image Marketing,Real Estate,Phantom 2 Vision +,TX,Aerial videography and cinematography to develop community awareness for housing and business properties.,
5/19/15,Samuel Adams,Photo/Film,DJI Inspire 1,AK ,"Aerial mapping, videography, and photography.",
5/19/15,Capstone Aviation Corporation,Conservation,DJI Phantom 2 Vision+,IL,"Aerial photography/ aerial inspection for business purposes over the following areas; over land, waterways, and oceans; operation over and/or in nonrestricted National Parks, National Forests, and non-navigable airspace using nonintrusive recording devices; and operation in otherwise unrestricted U.S. States and Territories. ",
5/19/15,Aerial Precision Survey,Agriculture,"3D Robotics Inc. Aero‰öÕM, 3D Robotics X8+",ID,Precision photogrammetry and crop scouting.,
5/19/15,Uneek Perspective,"Photo/Film, Utilities/Energy/Infrastructure, Emergency Services",Yuneec Electric Aviation Model Q500 Typhoon,IL,"Aerial photography and/or video for public and/or private use including real estate, architecture, land surveying, engineering and other related professional activities. Aerial video and/or photography for public and/or private use including television, public events, cinematography and news gathering. Aerial inspection/photography of residential/commercial structures under contract with the owners or local government authority. Aerial inspection/photography of residential/commercial utility infrastructure including but not limited to electrical power lines, wind turbines and cell towers. Aerial video/photography or providing live video feed to assist with search and rescue operations in cases of an emergency or natural disaster only when the local authorities or government has requested it by contract or donation. The ability to offer training to persons individually or belonging to both private and/or public organizations that have interests in the use and application of a UAS for the purpose of the safe operation of a UAS to enhance the safety of the National Airspace System (NAS) as well as for the protection of the persons and property.",
5/19/15,T&K LLC,"Photo/Film, Real Estate, Agriculture, Utilities/Energy/Infrastructure",DJI Phantom 2 Vision+,,"Aerial survey and photography in support of agricultural operations, surveying and civil engineering services, and the insurance and finance industries.",
5/19/15,Skycam Video,"Photo/Film, Utilities/Energy/Infrastructure, Construction, Real Estate",DJI Inspire 1,CO,"Aerial photography and videography for mapping, inspections of drainage ways, detention ponds, utilities, construction industries, and real estate properties.",
5/19/15,All Aerial Photography,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,FL,Aerial videography and cinematography to enhance academic community awareness and to augment real estate listing videos.,
5/19/15,Jonathan Harris,"Photo/Film, Real Estate",DJI Phantom,CA,Aerial videography and cinematography to enhance real estate listings.,
5/19/15,"Vertical Information Services, Inc.",Photo/Film,DJI Phantom Vision 2,FL,"Aerial photography, photogrammetry, and videography.",
5/19/15,"DARTdrones, LLC","Education, Emergency Services","DJI Phantom, DJI Phantom 2 Vision, DJI Phantom 2 Vision+",PA,Training for recreational users and emergency services entities to use unmanned aerial vehicles.,
5/19/15,"Freeport-McMoRan, Inc.",Utilities/Energy/Infrastructure,Prioria Maveric,NJ,"Surveying, aerial photography, videography and data acquisition for mine-related services.",
5/20/15,"Eastern Arizona Ag Center, Inc",Agriculture,Precision Drone Pacesetter,AZ,Aerial photography for the agricultural industry for monitoring growing crops.,
5/20/15,"Engineering Resources, LLC","Agriculture, Utilities/Energy/Infrastructure","SenseFly eBee, Sensefly eBee RTK",TX,"Precision aerial surveys for agricultural applications, mining, construction and survey/GIS operations.",
5/20/15,"Principia, Inc","Photo/Film, Real Estate, Agriculture, Utilities/Energy/Infrastructure","DJI S1000, 3DR Solo",NJ,"Aerial photography and filming operations for a range of business including insurance, real estate, agriculture, infrastructure inspection, and motion picture and television production. Closed set filming. (Amended 8/18/2015)",
5/20/15,"Pelican Drones, LLC",Real Estate,DJI Phantom 2 Vision+,FL,Aerial photography and video primarily of real property.,
5/20/15,"Unmanned Aerial Services, LLC",Agriculture,SenseFly eBee Ag,IA,"Photogrammetry and crop scouting in order to perform precision agriculture, which is a farming management concept based on observing, measuring, and responding to inter and intra field variability in crops.",
5/20/15,Alan Scott Baley dba Sunshine State Housing Solutions,Real Estate,DJI Inspire 1,FL,"Aerial inspection, photography and videography",
5/21/15,Tim Trott dba Southern Helicam,Real Estate,DJI Phantom 2 and DJI Phantom 2 Vision.,FL,Aerial photography and videography for real estate,
5/21/15,AMK Services LLC,Utilities/Energy/Infrastructure,DJI Phantom 2,OH,"Inspections and monitoring for the public safety, pipeline construction, and communications industries.",
5/21/15,BNL Technical Services LLC,"Conservation, Government Contracting","DJI Phantom 2, DJI S1000",WA,"Aerial imaging for surveying and monitoring. to use sUAVs in support of our current contract with Washington River Protection Solutions BMA 49896 for subsurface investigations (ground scanning), civil surveying, and dome deflection surveying services.",
5/21/15,SKYCAPTURE,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,IL,"Evaluation of real estate properties, topography reports, and private events.",
5/21/15,August Aerial Imagery,"Real Estate, Agriculture",DJI Inspire 1,WI,"Advertising and real estate videography and photography, precision farming, inspections, and search and rescue operations.",
5/21/15,Steven J. Massi,Photo/Film,DJI Phantom 2 Vision+,NC,"Aerial imaging, photography, and videography.",
5/21/15,"NOKA Ventures, LLC",Real Estate,DJI Phantom 2,TX,Real estate photography and videography.,
5/21/15,Michael A. Lee,"Photo/Film, Real Estate, Construction","DJI Phantom 2 Vision+, DJI Inspire 1",LA,"Aerial video and photography of construction sites, real estate, and landscape.",
5/21/15,RD Group,"Photo/Film, Real Estate, Construction, Other",DJI Phantom 2 Vision+,TX,"Aerial video and photography services for real estate and construction, surveying and inspection, marine and wildlife, agriculture and for special events.",
5/21/15,Travis Lee Berry,"Photo/Film, Real Estate, Construction","DJI Phantom 2 Vision+, DJI Inspire 1",TX,"Aerial video and photography of construction sites, real estate, and landscape.",
