parent,parent_id,Item,item_id,child,"Less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and more"
Ham*,ham,Canned ham*,canned-ham,child,0.01,b/,0.29,1.64,b/,0.14,1.83,2.52,1.6
,,,,,,,,,,,,,
Pork*,pork,Sausage*,sausage,child,22.77,17.49,27.65,20.84,24.13,31.69,31.56,37.97,44.93
Pork*,pork,Other pork*,other-pork,child,32.41,19.4,24.99,24.69,32.7,34.01,36.02,38.38,51.34
,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs*",meats-poultry-fish-and-eggs,Other meats*,other-meats,,81.6,63.42,75.47,84.47,89.1,96.84,110.68,129.46,167.92
,,,,,,,,,,,,,
Other meats*,other-meats,Frankfurters*,frankfurters,child,18.19,16.05,19.19,22.18,19.27,23.63,25.93,29.29,29.66
Other meats*,other-meats,Lunch meats (cold cuts)*,lunch-meats-(cold-cuts),,57.36,44.36,51.96,57.51,63.81,67.05,79.4,94.71,123.98
,,,,,,,,,,,,,
Lunch meats (cold cuts)*,lunch-meats-(cold-cuts),"Bologna, liverwurst, salami*",bologna-liverwurst-salami,child,20.71,15.91,18.98,18.1,20.41,21.87,22.88,30.2,35.12
Lunch meats (cold cuts)*,lunch-meats-(cold-cuts),Other lunchmeats*,other-lunchmeats,child,36.66,28.45,32.98,39.42,43.4,45.17,56.53,64.51,88.86
,,,,,,,,,,,,,
Other meats*,other-meats,"Lamb, organ meats and others*",lamb-organ-meats-and-others,,6.05,3.01,4.32,4.78,6.01,6.17,5.35,5.46,14.27
,,,,,,,,,,,,,
"Lamb, organ meats and others*",lamb-organ-meats-and-others,Lamb and organ meats*,lamb-and-organ-meats,child,2.11,1.51,4.32,3.72,3.72,5.7,4.57,5.11,8.45
"Lamb, organ meats and others*",lamb-organ-meats-and-others,"Mutton, goat and game*",mutton-goat-and-game,child,3.93,1.5,b/,1.06,2.29,0.46,0.78,0.35,5.82
,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs*",meats-poultry-fish-and-eggs,Poultry*,poultry,,124.15,112.43,134.28,111.63,145.29,152.69,169.78,159.39,222.51
,,,,,,,,,,,,,
Poultry*,poultry,Fresh and frozen chickens*,fresh-and-frozen-chickens,,107.53,97.67,112.07,97.47,125.02,132.69,144.32,124.73,173.06
,,,,,,,,,,,,,
Fresh and frozen chickens*,fresh-and-frozen-chickens,Fresh and frozen whole chicken*,fresh-and-frozen-whole-chicken,child,33.84,30.3,28.07,25.28,40.62,45.86,42.63,40.6,55.13
Fresh and frozen chickens*,fresh-and-frozen-chickens,Fresh and frozen chicken parts*,fresh-and-frozen-chicken-parts,child,73.69,67.37,83.99,72.19,84.4,86.83,101.68,84.13,117.93
,,,,,,,,,,,,,
Poultry*,poultry,Other poultry*,other-poultry,child,16.62,14.76,22.21,14.16,20.27,20,25.47,34.66,49.45
,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs*",meats-poultry-fish-and-eggs,Fish and seafood*,fish-and-seafood,,94.02,79.48,72.29,77.16,85.72,99.67,116.25,126.51,185.02
,,,,,,,,,,,,,
Fish and seafood*,fish-and-seafood,Canned fish and seafood*,canned-fish-and-seafood,child,14.34,12.63,13.12,14.56,14.32,16.05,22.13,18.36,23.28
Fish and seafood*,fish-and-seafood,Fresh fish and shellfish*,fresh-fish-and-shellfish,child,55.55,37.78,28.27,34.04,38.15,48.66,59.29,60.77,103.59
Fish and seafood*,fish-and-seafood,Frozen fish and shellfish*,frozen-fish-and-shellfish,child,24.13,29.08,30.9,28.56,33.24,34.96,34.83,47.38,58.15
,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs*",meats-poultry-fish-and-eggs,Eggs*,eggs,child,42.65,33.58,44.26,43.33,49.11,52.64,57.18,60.58,71.62
,,,,,,,,,,,,,
Food at home,food-at-home,Dairy products*,dairy-products,,245.49,238.64,262.44,297.95,312.58,337.01,415.53,438.61,568.27
,,,,,,,,,,,,,
Dairy products*,dairy-products,Fresh milk and cream*,fresh-milk-and-cream,,89.72,90.15,108.13,118.6,120.46,125.8,144.9,155.15,183.07
,,,,,,,,,,,,,
Fresh milk and cream*,fresh-milk-and-cream,"Fresh milk, all types*",fresh-milk-all-types,child,78.73,82.54,96.25,104.59,107.11,110.46,120.61,130.03,153.96
Fresh milk and cream*,fresh-milk-and-cream,Cream*,cream,child,10.99,7.61,11.88,14,13.34,15.33,24.29,25.11,29.11
,,,,,,,,,,,,,
Dairy products*,dairy-products,Other dairy products*,other-dairy-products,,155.77,148.49,154.31,179.36,192.13,211.21,270.63,283.46,385.2
,,,,,,,,,,,,,
Other dairy products*,other-dairy-products,Butter*,butter,child,15,11.2,18.98,16.77,21.15,25.2,28.23,24.78,35.94
Other dairy products*,other-dairy-products,Cheese*,cheese,child,70.82,59.17,74.06,81.92,89.96,103.26,134.98,138.19,194.48
Other dairy products*,other-dairy-products,Ice cream and related products*,ice-cream-and-related-products,child,38.63,41.82,33.48,48.73,44.03,42.23,54.9,58.71,70.79
Other dairy products*,other-dairy-products,Miscellaneous dairy products*,miscellaneous-dairy-products,child,31.32,36.3,27.79,31.94,36.99,40.53,52.52,61.79,83.99
,,,,,,,,,,,,,
Food at home,food-at-home,Fruits and vegetables*,fruits-and-vegetables,,457.99,406.37,428.93,480.26,556.82,627.22,705.81,733.78,"1,054.80"
,,,,,,,,,,,,,
Fruits and vegetables*,fruits-and-vegetables,Fresh fruits*,fresh-fruits,,152.64,132.15,144.06,156.07,196.45,223.9,249.38,257.33,398
,,,,,,,,,,,,,
Fresh fruits*,fresh-fruits,Apples*,apples,child,24.89,17.26,23.18,23.95,28.37,32.68,36.08,41.73,62.86
Fresh fruits*,fresh-fruits,Bananas*,bananas,child,21.77,27.49,28.32,30.41,31.6,39.94,41.92,37.92,59.97
Fresh fruits*,fresh-fruits,Oranges*,oranges,child,17.3,8.23,10.61,16.94,21.9,25.33,24.51,26.75,41.1
Fresh fruits*,fresh-fruits,"Citrus fruits, excluding oranges*",citrus-fruits-excluding-oranges,child,30.64,20.16,22.92,22.9,30.91,39.5,40.89,40.13,57.71
Fresh fruits*,fresh-fruits,Other fresh fruits*,other-fresh-fruits,child,58.03,59.01,59.02,61.87,83.67,86.46,105.97,110.8,176.37
,,,,child,,,,,,,,,
Fruits and vegetables*,fruits-and-vegetables,Fresh vegetables*,fresh-vegetables,,145.69,134.55,129.19,156.91,173.68,191.63,231.19,232.07,337.66
,,,,,,,,,,,,,
Fresh vegetables*,fresh-vegetables,Potatoes*,potatoes,child,24.74,27.3,21.54,32.24,30.09,29.99,36.6,39.11,52.59
Fresh vegetables*,fresh-vegetables,Lettuce*,lettuce,child,16.47,18.08,18.09,22.33,23.81,27.65,30.97,33.22,45.85
Fresh vegetables*,fresh-vegetables,Tomatoes*,tomatoes,child,22.9,27.32,24.59,26.48,30.78,35.44,42.3,38.64,54.63
Fresh vegetables*,fresh-vegetables,Other fresh vegetables*,other-fresh-vegetables,child,81.58,61.86,64.97,75.86,89,98.55,121.33,121.1,184.6
,,,,,,,,,,,,,
Fruits and vegetables*,fruits-and-vegetables,Processed fruits*,processed-fruits,,76.91,59.14,64.9,70.22,83.27,88.14,102.58,113.04,145.5
,,,,,,,,,,,,,
Processed fruits*,processed-fruits,Frozen fruits and fruit juices*,frozen-fruits-and-fruit-juices,,11.42,5.33,5.85,6.38,7.37,8.21,13.24,13.44,15.96
,,,,,,,,,,,,,
Frozen fruits and fruit juices*,frozen-fruits-and-fruit-juices,Frozen orange juice*,frozen-orange-juice,child,1.43,2.17,1.57,1.3,0.66,1.02,2.12,2.94,2.38
Frozen fruits and fruit juices*,frozen-fruits-and-fruit-juices,Frozen fruits*,frozen-fruits,child,6.6,2.25,2.49,3.82,5.07,5.14,8.56,7.66,10.07
Frozen fruits and fruit juices*,frozen-fruits-and-fruit-juices,Frozen fruit juices*,frozen-fruit-juices,child,3.39,0.9,1.79,1.26,1.64,2.05,2.55,2.85,3.51
,,,,,,,,,,,,,
