parent,parent_id,Item,item_id,child,"Less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and more"
Dinner*,dinner,"Dinner at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",dinner-at-fast-food-take-out-delivery-concession-stands-buffet-and-cafeteria-(other-than-employer-and-school-cafeteria),child,238.85,193.96,184.87,187.32,217.54,329.34,349.68,424.65,562.64
Dinner*,dinner,Dinner at full service restaurants*,dinner-at-full-service-restaurants,child,291.34,166.37,190.67,350.74,349.19,400.15,608.4,601.31,"1,369.18"
Dinner*,dinner,Dinner at vending machines and mobile vendors*,dinner-at-vending-machines-and-mobile-vendors,child,1.13,3.61,0.85,1.88,3.23,3.61,2.76,3.75,5.72
Dinner*,dinner,Dinner at employer and school cafeterias*,dinner-at-employer-and-school-cafeterias,child,7.59,16.04,3.8,1.79,3.55,8.24,4.6,6.59,6.59
,,,,,,,,,,,,,
"Meals at restaurants, carry outs and other*",meals-at-restaurants-carry-outs-and-other,Snacks and nonalcoholic beverages*,snacks-and-nonalcoholic-beverages,,87.96,64.42,77.06,101.84,98.45,130.72,191.29,178.14,306.71
,,,,,,,,,,,,,
Snacks and nonalcoholic beverages*,snacks-and-nonalcoholic-beverages,"Snacks and nonalcoholic beverages at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",snacks-and-nonalcoholic-beverages-at-fast-food-take-out-delivery-concession-stands-buffet-and-cafeteria-(other-than-employer-and-school-cafeteria),child,47.34,37.14,45.38,63.35,59.14,82.03,118.8,122.99,199.78
Snacks and nonalcoholic beverages*,snacks-and-nonalcoholic-beverages,Snacks and nonalcoholic beverages at full service restaurants*,snacks-and-nonalcoholic-beverages-at-full-service-restaurants,child,27.37,11.34,17.94,23.41,19.81,25.34,40.48,28.37,67.32
Snacks and nonalcoholic beverages*,snacks-and-nonalcoholic-beverages,Snacks and nonalcoholic beverages at vending machines and mobile vendors*,snacks-and-nonalcoholic-beverages-at-vending-machines-and-mobile-vendors,child,8.98,9.14,9.62,12.59,14.56,15.75,24.34,21.45,29.67
Snacks and nonalcoholic beverages*,snacks-and-nonalcoholic-beverages,Snacks and nonalcoholic beverages at employer and school cafeterias*,snacks-and-nonalcoholic-beverages-at-employer-and-school-cafeterias,child,4.27,6.8,4.12,2.49,4.94,7.6,7.67,5.32,9.95
,,,,,,,,,,,,,
"Meals at restaurants, carry outs and other*",meals-at-restaurants-carry-outs-and-other,Breakfast and brunch*,breakfast-and-brunch,,138.08,123.3,110.76,142.17,182.74,197.29,222.08,276.32,377.79
,,,,,,,,,,,,,
Breakfast and brunch*,breakfast-and-brunch,"Breakfast and brunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",breakfast-and-brunch-at-fast-food-take-out-delivery-concession-stands-buffet-and-cafeteria-(other-than-employer-and-school-cafeteria),child,57.78,74.69,65.9,66.63,103.16,108.42,115.1,155.17,192.94
Breakfast and brunch*,breakfast-and-brunch,Breakfast and brunch at full service restaurants*,breakfast-and-brunch-at-full-service-restaurants,child,75.18,30.94,40.49,69.06,75,75.77,99.08,108.45,163.03
Breakfast and brunch*,breakfast-and-brunch,Breakfast and brunch at vending machines and mobile vendors*,breakfast-and-brunch-at-vending-machines-and-mobile-vendors,child,2.66,1.37,1.71,1.92,1.9,1.42,3.95,4.01,6.78
Breakfast and brunch*,breakfast-and-brunch,Breakfast and brunch at employer and school cafeterias*,breakfast-and-brunch-at-employer-and-school-cafeterias,child,2.45,16.3,2.66,4.56,2.69,11.67,3.95,8.68,15.03
,,,,,,,,,,,,,
Food away from home,food-away-from-home,Food or board at school,food-or-board-at-school,child,13.87,5.86,2.28,10.31,5.59,21.42,11.73,7.38,53.13
Food away from home,food-away-from-home,Catered affairs,catered-affairs,child,1.83,9.82,30.42,4.47,12.48,7.85,13.39,36.63,126.27
Food away from home,food-away-from-home,Food on out-of-town trips,food-on-out-of-town-trips,child,72.06,59.48,64.07,82.61,84.97,143.63,162.01,202.13,528.22
Food away from home,food-away-from-home,School lunches,school-lunches,child,23.05,4.67,6.07,3.08,14.04,22.07,29.63,43.32,101.16
Food away from home,food-away-from-home,Meals as pay,meals-as-pay,child,7.55,27.62,12.28,39.37,39.86,17.12,31.95,25.26,30.45
,,,,,,,,,,,,,
Expenditures,expenditures,Alcoholic beverages,alcoholic-beverages,,221.08,133.48,140.28,197.8,191.6,252.19,322.63,385.49,850.28
,,,,,,,,,,,,,
Alcoholic beverages,alcoholic-beverages,At home,alcohol-at-home,,139.82,91.29,68.41,107.91,123.13,157.31,172.71,217.55,433.7
,,,,,,,,,,,,,
At home,alcohol-at-home,Beer and ale*,beer-and-ale,child,84.19,66.34,49.95,60.73,72.56,88.88,91.27,108.48,169.98
At home,alcohol-at-home,Whiskey*,whiskey,child,14.15,b/,1.55,3.38,7.43,5.3,6.5,8.81,16.36
At home,alcohol-at-home,Wine*,wine,child,23.81,23.42,9.65,32.44,38.34,49.14,56.9,77.61,214.1
At home,alcohol-at-home,Other alcoholic beverages*,other-alcoholic-beverages,child,17.66,1.54,7.26,11.35,4.8,13.99,18.03,22.65,33.26
,,,,,,,,,,,,,
Alcoholic beverages,alcoholic-beverages,Away from home,alcohol-away-from-home,,81.26,42.19,71.87,89.9,68.47,94.88,149.92,167.94,416.58
,,,,,,,,,,,,,
Away from home,alcohol-away-from-home,Beer and ale,away-beer-and-ale,,35.5,12.33,30.28,32.42,28.96,42.61,61.5,65.97,121.19
,,,,,,,,,,,,,
Beer and ale,away-beer-and-ale,"Beer and ale at fast food, take-out, delivery, concession stands, buffet and cafeteria*",beer-and-ale-at-fast-food-take-out-delivery-concession-stands-buffet-and-cafeteria,child,6.2,b/,5.78,5.49,4.06,11.24,8.68,10.05,17.79
Beer and ale,away-beer-and-ale,Beer and ale at full service restaurants*,beer-and-ale-at-full-service-restaurants,child,29.3,12.33,17.77,26.62,24.85,31.37,52.82,54.07,101.67
Beer and ale,away-beer-and-ale,Beer and ale at vending machines and mobile vendors*,beer-and-ale-at-vending-machines-and-mobile-vendors,child,b/,b/,6.73,0.31,0.05,b/,b/,0.96,0.81
Beer and ale,away-beer-and-ale,Beer at employer*,beer-at-employer,child,b/,b/,b/,b/,b/,b/,b/,0.89,0.92
Beer and ale,away-beer-and-ale,Beer at board*,beer-at-board,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
Beer and ale,away-beer-and-ale,Beer and ale at catered affairs*,beer-and-ale-at-catered-affairs,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
,,,,,,,,,,,,,
Away from home,alcohol-away-from-home,Wine,away-wine,,8.45,9.1,5.05,13.91,8.54,11.82,19.72,23.76,84.41
,,,,,,,,,,,,,
Wine,away-wine,"Wine at fast food, take-out, delivery, concession stands, buffet and cafeteria*",wine-at-fast-food-take-out-delivery-concession-stands-buffet-and-cafeteria,child,0.57,b/,b/,1.04,0.01,1.56,1.11,1.49,4.45
Wine,away-wine,Wine at full service restaurants*,wine-at-full-service-restaurants,child,7.13,9.1,5.05,10.92,8.49,10.26,18.62,21.74,79.5
Wine,away-wine,Wine at vending machines and mobile vendors*,wine-at-vending-machines-and-mobile-vendors,child,0.75,b/,b/,b/,0.04,b/,b/,0.53,0.16
Wine,away-wine,Wine at employer*,wine-at-employer,child,b/,b/,b/,1.95,b/,b/,b/,b/,0.3
Wine,away-wine,Wine at board*,wine-at-board,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
Wine,away-wine,Wine at catered affairs*,wine-at-catered-affairs,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
,,,,,,,,,,,,,
Away from home,alcohol-away-from-home,Other alcoholic beverages,away-other-alcoholic-beverages,,24.3,10.95,22.74,28.66,19.12,17.5,37.46,38.5,103.42
,,,,,,,,,,,,,
Other alcoholic beverages,away-other-alcoholic-beverages,"Other alcoholic beverages at fast food, take-out, delivery, concession stands, buffet and cafeteria*",other-alcoholic-beverages-at-fast-food-take-out-delivery-concession-stands-buffet-and-cafeteria,child,0.57,3.04,2.11,5.02,2.69,1.87,2.19,4.99,2.77
Other alcoholic beverages,away-other-alcoholic-beverages,Other alcoholic beverages at full service restaurants*,other-alcoholic-beverages-at-full-service-restaurants,child,23.74,7.91,20.62,23.63,16.18,14.93,34.79,33.38,99.53
Other alcoholic beverages,away-other-alcoholic-beverages,Other alcoholic beverages at vending machines and mobile vendors*,other-alcoholic-beverages-at-vending-machines-and-mobile-vendors,child,b/,b/,b/,b/,0.1,0.69,0.48,0.07,0.08
Other alcoholic beverages,away-other-alcoholic-beverages,Other alcohol at employer*,other-alcohol-at-employer,child,b/,b/,b/,b/,0.16,b/,b/,0.06,1.04
Other alcoholic beverages,away-other-alcoholic-beverages,Other alcohol at board*,other-alcohol-at-board,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
Other alcoholic beverages,away-other-alcoholic-beverages,Other alcoholic beverages at catered affairs*,other-alcoholic-beverages-at-catered-affairs,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
,,,,,,,,,,,,,
Away from home,alcohol-away-from-home,Alcoholic beverages purchased on trips,alcoholic-beverages-purchased-on-trips,child,13,9.82,13.8,14.91,11.84,22.95,31.24,39.71,107.56
,,,,,,,,,,,,,
Expenditures,expenditures,Housing,housing,,"9,543.04","8,958.66","9,426.06","10,813.72","12,128.82","13,539.08","15,137.63","17,027.74","27,290.20"
,,,,,,,,,,,,,
Housing,housing,Shelter,shelter,,"6,048.24","5,589.21","5,687.31","6,290.38","7,060.70","7,790.20","8,881.53","9,799.01","16,232.57"
,,,,,,,,,,,,,
Shelter,shelter,Owned dwellings,owned-dwellings,,"1,924.09","1,616.72","1,867.32","2,402.34","2,795.07","3,581.11","4,198.08","5,556.08","11,605.81"
,,,,,,,,,,,,,
Owned dwellings,owned-dwellings,Mortgage interest and charges,mortgage-interest-and-charges,,673.84,555.29,549.49,748.76,961.11,"1,456.01","1,874.67","2,603.79","6,063.99"
,,,,,,,,,,,,,
Mortgage interest and charges,mortgage-interest-and-charges,Mortgage interest,mortgage-interest,child,647.94,547.1,535.77,726.29,916.29,"1,415.79","1,793.30","2,487.79","5,819.36"
Mortgage interest and charges,mortgage-interest-and-charges,"Interest paid, home equity loan",interest-paid-home-equity-loan,child,16.17,3.9,4.37,4.27,22.87,19.62,39.92,45.4,87.36
Mortgage interest and charges,mortgage-interest-and-charges,"Interest paid, home equity line of credit",interest-paid-home-equity-line-of-credit,child,9.72,4.3,9.35,18.21,21.96,20.6,41.45,70.59,157.27
,,,,,,,,,,,,,
Owned dwellings,owned-dwellings,Property taxes,property-taxes,child,748.36,514.26,752.48,928.45,999.98,"1,170.97","1,343.50","1,701.21","3,427.14"
Owned dwellings,owned-dwellings,"Maintenance, repairs, insurance, other expenses",maintenance-repairs-insurance-other-expenses,,501.89,547.17,565.36,725.13,833.98,954.13,979.92,"1,251.08","2,114.68"
,,,,,,,,,,,,,
"Maintenance, repairs, insurance, other expenses",maintenance-repairs-insurance-other-expenses,Homeowners insurance,homeowners-insurance,child,119.18,89.41,148.98,204.79,224.73,300.59,313.45,326.58,546.91
"Maintenance, repairs, insurance, other expenses",maintenance-repairs-insurance-other-expenses,Ground rent,ground-rent,child,166.55,56.66,56.79,57.79,74.48,64.26,50.45,47.11,71.12
"Maintenance, repairs, insurance, other expenses",maintenance-repairs-insurance-other-expenses,"Flooring installation, repair, replacement",flooring-installation-repair-replacement,child,0.22,44.54,27.68,26.41,30.66,31.8,38.26,71.5,154.82
"Maintenance, repairs, insurance, other expenses",maintenance-repairs-insurance-other-expenses,Maintenance and repair services,maintenance-and-repair-services,,175.35,328.57,257.06,342.33,380.07,447.12,475.9,658.68,"1,082.92"
,,,,,,,,,,,,,
Maintenance and repair services,maintenance-and-repair-services,Painting and papering,painting-and-papering,child,22.98,27.75,21.89,53.31,32.35,46.67,30.08,64.38,197.3
Maintenance and repair services,maintenance-and-repair-services,Plumbing and water heating,plumbing-and-water-heating,child,14.87,94.43,88.33,49.32,61.81,67.09,43.78,97.11,121.35
Maintenance and repair services,maintenance-and-repair-services,"Heat, a/c, electrical work",heat-a/c-electrical-work,child,65.06,47.23,59.8,32.65,106.8,62.3,65.41,159.48,242.99
Maintenance and repair services,maintenance-and-repair-services,Roofing and gutters,roofing-and-gutters,child,30.53,74.1,17.28,97.96,80.02,126.16,85.67,186.67,154.05
Maintenance and repair services,maintenance-and-repair-services,Other repair and maintenance services,other-repair-and-maintenance-services,child,41.91,84.55,69.71,108.12,97.99,144.35,250.12,148.38,364.29
Maintenance and repair services,maintenance-and-repair-services,Repair of built-in appliances,repair-of-built-in-appliances,child,b/,0.51,0.04,0.97,1.11,0.54,0.83,2.65,2.94
,,,,,,,,,,,,,
"Maintenance, repairs, insurance, other expenses",maintenance-repairs-insurance-other-expenses,Maintenance and repair commodities,maintenance-and-repair-commodities,,21.02,10,21.33,25.76,49.52,49.25,48.98,81.8,145.47
,,,,,,,,,,,,,
Maintenance and repair commodities,maintenance-and-repair-commodities,"Paints, wallpaper and supplies",paints-wallpaper-and-supplies,child,2.16,3.87,2.94,7.35,6.19,15.1,11.48,13.2,30.54
Maintenance and repair commodities,maintenance-and-repair-commodities,Tools and equipment for painting and wallpapering,tools-and-equipment-for-painting-and-wallpapering,child,0.23,0.42,0.32,0.79,0.67,1.62,1.23,1.42,3.28
Maintenance and repair commodities,maintenance-and-repair-commodities,Plumbing supplies and equipment,plumbing-supplies-and-equipment,child,7.91,0.28,2.03,1.5,5.37,8.71,4.87,8.39,14.61
Maintenance and repair commodities,maintenance-and-repair-commodities,"Electrical supplies, heating and cooling equipment",electrical-supplies-heating-and-cooling-equipment,child,0.69,0.02,0.68,2.12,0.68,6.33,2.09,2.99,14
Maintenance and repair commodities,maintenance-and-repair-commodities,Materials and equipment for roof and gutters,materials-and-equipment-for-roof-and-gutters,child,3.11,1.24,1.69,1.73,3.21,4.31,3.64,12.6,10.65
Maintenance and repair commodities,maintenance-and-repair-commodities,"Materials for plaster., panel., siding, windows, doors, screens, awnings",materials-for-plaster.-panel.-siding-windows-doors-screens-awnings,child,3.18,1.25,4.25,3.14,16.05,5.33,14.7,14.92,28.43
Maintenance and repair commodities,maintenance-and-repair-commodities,"Materials for patio, walk, fence, driveway, masonry, brick and stucco work",materials-for-patio-walk-fence-driveway-masonry-brick-and-stucco-work,child,0.08,0.16,0.16,0.02,0.82,0.68,0.38,0.87,4.56
Maintenance and repair commodities,maintenance-and-repair-commodities,Materials for landscaping maintenance,materials-for-landscaping-maintenance,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
Maintenance and repair commodities,maintenance-and-repair-commodities,Miscellaneous supplies and equipment,miscellaneous-supplies-and-equipment,,3.65,2.75,9.26,9.11,16.54,7.17,10.6,27.4,39.4
,,,,,,,,,,,,,
Miscellaneous supplies and equipment,miscellaneous-supplies-and-equipment,"Material for insulation, other maintenance and repair",material-for-insulation-other-maintenance-and-repair,child,3.65,2.75,9.26,9.11,16.54,7.17,10.6,27.4,38.58
Miscellaneous supplies and equipment,miscellaneous-supplies-and-equipment,"Materials to finish basement, remodel rooms or build patios, walks, etc. (maint., repair and repl. - owned properties)",materials-to-finish-basement-remodel-rooms-or-build-patios-walks-etc.-(maint.-repair-and-repl.---owned-properties),child,b/,b/,b/,b/,b/,b/,b/,b/,0.83
,,,,,,,,,,,,,
"Maintenance, repairs, insurance, other expenses",maintenance-repairs-insurance-other-expenses,Property management and security,property-management-and-security,,18.75,17.26,46.57,64.48,66.59,58.39,49.62,61.48,107.42
,,,,,,,,,,,,,
Property management and security,property-management-and-security,Property management,property-management,child,18.39,16.41,44,51.19,61.17,49.8,47.13,58.07,102.5
Property management and security,property-management-and-security,Management and upkeep services for security,management-and-upkeep-services-for-security,child,0.35,0.85,2.57,13.29,5.42,8.59,2.49,3.41,4.92
,,,,,,,,,,,,,
"Maintenance, repairs, insurance, other expenses",maintenance-repairs-insurance-other-expenses,Parking,parking,child,0.83,0.73,6.95,3.56,7.92,2.73,3.28,3.93,6.01
,,,,,,,,,,,,,
Shelter,shelter,Rented dwellings,rent-rented-dwellings,,"3,980.64","3,858.18","3,638.88","3,675.86","4,054.14","3,878.12","4,273.26","3,812.00","3,072.25"
,,,,,,,,,,,,,
Rented dwellings,rent-rented-dwellings,Rent,rent-rent,child,"3,633.68","3,479.57","3,314.87","3,488.25","3,926.02","3,748.52","4,151.23","3,648.32","2,966.13"
Rented dwellings,rent-rented-dwellings,Rent as pay,rent-rent-as-pay,child,329.85,367.36,304.38,153.55,83.77,74.32,66.86,54.82,36.94
Rented dwellings,rent-rented-dwellings,"Maintenance, insurance and other expenses",rent-maintenance-insurance-and-other-expenses,,17.11,11.25,19.62,34.06,44.35,55.29,55.17,108.86,69.18
,,,,,,,,,,,,,
"Maintenance, insurance and other expenses",rent-maintenance-insurance-and-other-expenses,Tenant's insurance,rent-tenant's-insurance,child,9.88,5.2,8.59,12.42,18.27,18.27,19.99,18.99,19.84
"Maintenance, insurance and other expenses",rent-maintenance-insurance-and-other-expenses,"Flooring installation, repair, replacement",rent-flooring-installation-repair-replacement,child,0.33,b/,b/,1.46,6.49,0.43,2.6,7.45,2.64
"Maintenance, insurance and other expenses",rent-maintenance-insurance-and-other-expenses,Maintenance and repair services,rent-maintenance-and-repair-services,,2.83,3.94,9.03,14.21,9.62,18.52,23.1,55.55,34.16
,,,,,,,,,,,,,
Maintenance and repair services,rent-maintenance-and-repair-services,Repair or maintenance services,rent-repair-or-maintenance-services,child,2.61,3.94,8.94,14.21,9.6,18.37,22.89,55.37,34.08
Maintenance and repair services,rent-maintenance-and-repair-services,Repair of built-in appliances,rent-repair-of-built-in-appliances,child,0.22,b/,0.09,b/,0.02,0.14,0.21,0.17,0.07
,,,,,,,,,,,,,
"Maintenance, insurance and other expenses",rent-maintenance-insurance-and-other-expenses,Maintenance and repair commodities,rent-maintenance-and-repair-commodities,,4.07,2.12,2,5.97,9.97,18.06,9.48,26.88,12.54
,,,,,,,,,,,,,
Maintenance and repair commodities,rent-maintenance-and-repair-commodities,"Paint, wallpaper, and supplies",rent-paint-wallpaper-and-supplies,child,2.54,0.28,0.11,1.24,2.01,1.69,1.73,2.79,1.24
Maintenance and repair commodities,rent-maintenance-and-repair-commodities,Tools and equipment for painting and wallpapering,rent-tools-and-equipment-for-painting-and-wallpapering,child,0.27,0.03,0.01,0.13,0.22,0.18,0.19,0.3,0.13
Maintenance and repair commodities,rent-maintenance-and-repair-commodities,"Materials for plastering, panels, roofing, gutters, etc",rent-materials-for-plastering-panels-roofing-gutters-etc,child,b/,0.05,0.52,0.08,b/,0.43,0.59,2,0.31
Maintenance and repair commodities,rent-maintenance-and-repair-commodities,"Materials for patio, walk, fence, driveway, masonry, brick and stucco work",rent-materials-for-patio-walk-fence-driveway-masonry-brick-and-stucco-work,child,b/,b/,b/,b/,b/,0.01,0.07,0.07,0.01
Maintenance and repair commodities,rent-maintenance-and-repair-commodities,Plumbing supplies and equipment,rent-plumbing-supplies-and-equipment,child,0.15,0.16,0.25,0.47,1.32,2.56,0.37,0.88,0.2
Maintenance and repair commodities,rent-maintenance-and-repair-commodities,"Electrical supplies, heating and cooling equipment",rent-electrical-supplies-heating-and-cooling-equipment,child,b/,0.4,0.27,0.03,0.01,0.3,b/,0.41,0.93
Maintenance and repair commodities,rent-maintenance-and-repair-commodities,Miscellaneous supplies and equipment,rent-miscellaneous-supplies-and-equipment,,0.71,1,0.58,3.2,5.64,11.15,6.27,19.3,9.22
,,,,,,,,,,,,,
Miscellaneous supplies and equipment,rent-miscellaneous-supplies-and-equipment,"Material for insulation, other maintenance and repair",rent-material-for-insulation-other-maintenance-and-repair,child,0.66,0.37,0.2,3.06,5.14,0.97,0.85,4.43,1.31
Miscellaneous supplies and equipment,rent-miscellaneous-supplies-and-equipment,"Materials for additions, finishing basements, remodeling rooms",rent-materials-for-additions-finishing-basements-remodeling-rooms,child,0.05,0.63,b/,b/,0.44,9.97,5.42,14.82,7.92
Miscellaneous supplies and equipment,rent-miscellaneous-supplies-and-equipment,Construction materials for jobs not started,rent-construction-materials-for-jobs-not-started,child,b/,b/,0.38,0.14,0.06,0.2,b/,0.05,b/
Maintenance and repair commodities,rent-maintenance-and-repair-commodities,Material for landscape maintenance,rent-material-for-landscape-maintenance,child,0.39,0.2,0.27,0.82,0.77,1.75,0.27,1.12,0.5
,,,,,,,,,,,,,
Shelter,shelter,Other lodging,other-lodging,,143.52,114.3,181.11,212.17,211.48,330.96,410.18,430.93,"1,554.51"
,,,,,,,,,,,,,
Other lodging,other-lodging,Owned vacation homes,vacation-owned-vacation-homes,,9.65,16.37,38.66,86.62,75.21,75.67,167.27,121.26,603.64
,,,,,,,,,,,,,
Owned vacation homes,vacation-owned-vacation-homes,Mortgage interest and charges,vacation-mortgage-interest-and-charges,,b/,b/,1.86,6.49,12.51,22.79,40.53,32.35,246.01
,,,,,,,,,,,,,
Mortgage interest and charges,vacation-mortgage-interest-and-charges,Mortgage interest,vacation-mortgage-interest,child,b/,b/,1.86,6.49,12.51,20.1,39.01,31.76,240.77
Mortgage interest and charges,vacation-mortgage-interest-and-charges,"Interest paid, home equity loan",vacation-interest-paid-home-equity-loan,child,b/,b/,b/,b/,b/,2.68,0.95,0.49,0.96
Mortgage interest and charges,vacation-mortgage-interest-and-charges,"Interest paid, home equity line of credit",vacation-interest-paid-home-equity-line-of-credit,child,b/,b/,b/,b/,b/,b/,0.57,0.1,4.27
,,,,,,,,,,,,,
Owned vacation homes,vacation-owned-vacation-homes,Property taxes,vacation-property-taxes,child,6.4,14.01,33.99,49.27,47.7,31.15,86.55,69.35,206.15
Owned vacation homes,vacation-owned-vacation-homes,"Flooring installation, repair, replacement",vacation-flooring-installation-repair-replacement,child,b/,b/,b/,b/,b/,b/,b/,1.87,2.7
Owned vacation homes,vacation-owned-vacation-homes,"Maintenance, insurance, and other expenses",vacation-maintenance-insurance-and-other-expenses,,3.25,2.36,2.82,30.86,15,21.73,40.19,17.68,148.78
,,,,,,,,,,,,,
"Maintenance, insurance, and other expenses",vacation-maintenance-insurance-and-other-expenses,Homeowners insurance,vacation-homeowners-insurance,child,0.72,b/,b/,11.95,3.16,6.98,7.81,5.15,26.34
"Maintenance, insurance, and other expenses",vacation-maintenance-insurance-and-other-expenses,Ground rent,vacation-ground-rent,child,b/,b/,b/,3.79,0.64,3.45,4.72,0.92,12.09
"Maintenance, insurance, and other expenses",vacation-maintenance-insurance-and-other-expenses,Maintenance and repair services,vacation-maintenance-and-repair-services,,1.52,0.76,0.26,6.88,5.71,3.29,17.06,3.35,79.29
,,,,,,,,,,,,,
Maintenance and repair services,vacation-maintenance-and-repair-services,Repair and remodeling services,vacation-repair-and-remodeling-services,child,1.52,0.76,0.26,6.88,5.71,3.29,17.06,3.35,79.29
,,,,,,,,,,,,,
"Maintenance, insurance, and other expenses",vacation-maintenance-insurance-and-other-expenses,Maintenance and repair commodities,vacation-maintenance-and-repair-commodities,,b/,b/,b/,b/,0.01,0.16,2.07,2.26,2.76
,,,,,,,,,,,,,
Maintenance and repair commodities,vacation-maintenance-and-repair-commodities,"Paints, wallpaper, supplies",vacation-paints-wallpaper-supplies,child,b/,b/,b/,b/,b/,b/,0.1,0.4,0.36
Maintenance and repair commodities,vacation-maintenance-and-repair-commodities,Tools and equipment for painting and wallpapering,vacation-tools-and-equipment-for-painting-and-wallpapering,child,b/,b/,b/,b/,b/,b/,0.01,0.04,0.04
Maintenance and repair commodities,vacation-maintenance-and-repair-commodities,"Materials for plastering, paneling, roofing, gutters, downspouts, siding, windows, doors, screens, and awnings",vacation-materials-for-plastering-paneling-roofing-gutters-downspouts-siding-windows-doors-screens-and-awnings,child,b/,b/,b/,b/,b/,b/,b/,1.81,1.89
Maintenance and repair commodities,vacation-maintenance-and-repair-commodities,"Material for patio, walk, fence, drive, masonry, brick, stucco",vacation-material-for-patio-walk-fence-drive-masonry-brick-stucco,child,b/,b/,b/,b/,b/,b/,b/,b/,0.26
Maintenance and repair commodities,vacation-maintenance-and-repair-commodities,Plumbing supplies and equipment,vacation-plumbing-supplies-and-equipment,child,b/,b/,b/,b/,b/,b/,1.4,b/,0.19
Maintenance and repair commodities,vacation-maintenance-and-repair-commodities,"Electrical supplies, heating and cooling equipment",vacation-electrical-supplies-heating-and-cooling-equipment,child,b/,b/,b/,b/,b/,b/,0.36,b/,b/
Maintenance and repair commodities,vacation-maintenance-and-repair-commodities,Miscellaneous supplies and equipment,vacation-miscellaneous-supplies-and-equipment,,b/,b/,b/,b/,0.01,0.16,0.2,b/,0.02
,,,,,,,,,,,,,
Miscellaneous supplies and equipment,vacation-miscellaneous-supplies-and-equipment,"Material for insulation, other maintenance and repair",vacation-material-for-insulation-other-maintenance-and-repair,child,b/,b/,b/,b/,0.01,0.16,0.2,b/,0.02
Miscellaneous supplies and equipment,vacation-miscellaneous-supplies-and-equipment,Material for finishing basements and remodeling rooms,vacation-material-for-finishing-basements-and-remodeling-rooms,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
Maintenance and repair commodities,vacation-maintenance-and-repair-commodities,Materials for landscaping maintenance,vacation-materials-for-landscaping-maintenance,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
,,,,,,,,,,,,,
"Maintenance, insurance, and other expenses",vacation-maintenance-insurance-and-other-expenses,Property management and security,vacation-property-management-and-security,,0.16,1.6,2.21,8.24,5.44,7.43,8.4,5.7,27.03
,,,,,,,,,,,,,
Property management and security,vacation-property-management-and-security,Property management,vacation-property-management,child,b/,1.6,2.2,8.08,4.64,7.23,8.25,5.31,24.73
Property management and security,vacation-property-management-and-security,Management and upkeep services for security,vacation-management-and-upkeep-services-for-security,child,0.16,b/,0.01,0.16,0.8,0.2,0.14,0.39,2.3
,,,,,,,,,,,,,
"Maintenance, insurance, and other expenses",vacation-maintenance-insurance-and-other-expenses,Parking,vacation-parking,child,0.85,b/,0.35,b/,0.05,0.41,0.13,0.3,1.25
,,,,,,,,,,,,,
Other lodging,other-lodging,Housing while attending school,housing-while-attending-school,child,42.24,19.06,60.45,4.93,23.78,25.48,8.4,16.93,131.87
Other lodging,other-lodging,Lodging on out-of-town trips,lodging-on-out-of-town-trips,child,91.63,78.88,82,120.62,112.49,229.82,234.51,292.75,819.01
,,,,,,,,,,,,,
Housing,housing,"Utilities, fuels, and public services",utilities-fuels-and-public-services,,"2,256.26","2,065.07","2,416.15","2,818.44","3,169.33","3,476.87","3,734.73","4,112.50","5,258.10"
,,,,,,,,,,,,,
"Utilities, fuels, and public services",utilities-fuels-and-public-services,Natural gas,natural-gas,,201.18,213.27,235.65,296.81,323.42,367.95,432.18,443.61,630.3
,,,,,,,,,,,,,
Natural gas,natural-gas,Utility-natural gas (renter),utility-natural-gas-(renter),child,84.13,110.53,88.89,83.17,100.92,116.35,107.94,93.79,68.19
Natural gas,natural-gas,Utility-natural gas (owned home),utility-natural-gas-(owned-home),child,114.74,100.76,146.04,210.5,218.59,248.61,318.66,346.26,550.5
Natural gas,natural-gas,Utility-natural gas (owned vacation),utility-natural-gas-(owned-vacation),child,0.38,b/,0.08,2.48,1.39,0.39,5.32,2.98,8
Natural gas,natural-gas,Utility-natural gas (rented vacation),utility-natural-gas-(rented-vacation),child,1.93,1.99,0.64,0.66,2.52,2.6,0.26,0.58,3.61
,,,,,,,,,,,,,
"Utilities, fuels, and public services",utilities-fuels-and-public-services,Electricity,electricity,,"1,046.99",951.76,"1,082.39","1,185.84","1,300.29","1,429.49","1,439.05","1,529.77","1,820.88"
,,,,,,,,,,,,,
