number_cc_transactions,date_of_transactions,
1800,2/3/12,
1415,2/4/12,
1272,2/5/12,
1986,2/6/12,
1779,2/7/12,
1869,2/8/12,
1566,2/9/12,
1767,2/10/12,
1757,2/11/12,
1805,2/12/12,
2352,2/13/12,
2003,2/14/12,
2304,2/15/12,
2042,2/16/12,
2213,2/17/12,
1778,2/18/12,
1752,2/19/12,
2313,2/20/12,
1961,2/21/12,
2146,2/22/12,
1964,2/23/12,
2076,2/24/12,
1657,2/25/12,
1594,2/26/12,
2149,2/27/12,
2024,2/28/12,
1924,2/29/12,
1882,3/1/12,
1933,3/2/12,
1581,3/3/12,
1622,3/4/12,
2165,3/5/12,
1787,3/6/12,
1893,3/7/12,
1889,3/8/12,
2292,3/9/12,
1798,3/10/12,
1767,3/11/12,
2260,3/12/12,
1979,3/13/12,
2087,3/14/12,
1775,3/15/12,
2023,3/16/12,
1616,3/17/12,
1682,3/18/12,
2184,3/19/12,
1907,3/20/12,
1895,3/21/12,
1895,3/22/12,
1935,3/23/12,
1651,3/24/12,
1684,3/25/12,
2373,3/26/12,
1952,3/27/12,
2007,3/28/12,
1841,3/29/12,
1864,3/30/12,
1552,3/31/12,
1472,4/1/12,
2579,4/2/12,
2472,4/3/12,
2373,4/4/12,
2099,4/5/12,
2533,4/6/12,
2026,4/7/12,
1988,4/8/12,
2640,4/9/12,
2704,4/10/12,
2483,4/11/12,
1955,4/12/12,
3960,4/13/12,
2294,4/14/12,
2616,4/15/12,
3321,4/16/12,
2758,4/17/12,
2871,4/18/12,
2507,4/19/12,
2972,4/20/12,
2372,4/21/12,
2425,4/22/12,
3162,4/23/12,
2762,4/24/12,
2984,4/25/12,
2763,4/26/12,
3095,4/27/12,
2482,4/28/12,
2521,4/29/12,
3390,4/30/12,
3086,5/1/12,
3220,5/2/12,
3105,5/3/12,
3266,5/4/12,
2585,5/5/12,
2725,5/6/12,
3668,5/7/12,
3882,5/8/12,
3837,5/9/12,
3241,5/10/12,
3575,5/11/12,
2585,5/12/12,
3561,5/13/12,
4334,5/14/12,
4070,5/15/12,
3695,5/16/12,
3439,5/17/12,
3789,5/18/12,
2927,5/19/12,
3094,5/20/12,
3812,5/21/12,
3789,5/22/12,
3378,5/23/12,
3600,5/24/12,
3611,5/25/12,
2719,5/26/12,
2699,5/27/12,
3326,5/28/12,
3715,5/29/12,
3968,5/30/12,
3393,5/31/12,
3887,6/1/12,
3141,6/2/12,
3437,6/3/12,
3971,6/4/12,
3708,6/5/12,
3949,6/6/12,
3761,6/7/12,
3890,6/8/12,
3199,6/9/12,
3468,6/10/12,
4065,6/11/12,
4450,6/12/12,
3880,6/13/12,
3969,6/14/12,
4074,6/15/12,
3386,6/16/12,
3589,6/17/12,
4509,6/18/12,
4273,6/19/12,
3889,6/20/12,
3963,6/21/12,
4027,6/22/12,
3374,6/23/12,
3595,6/24/12,
4283,6/25/12,
4176,6/26/12,
4021,6/27/12,
3773,6/28/12,
4036,6/29/12,
3535,6/30/12,
3610,7/1/12,
4253,7/2/12,
4017,7/3/12,
3604,7/4/12,
4361,7/5/12,
4475,7/6/12,
3958,7/7/12,
4212,7/8/12,
4720,7/9/12,
4654,7/10/12,
4189,7/11/12,
4441,7/12/12,
4939,7/13/12,
4209,7/14/12,
4061,7/15/12,
4868,7/16/12,
4648,7/17/12,
4493,7/18/12,
4354,7/19/12,
4581,7/20/12,
3963,7/21/12,
4038,7/22/12,
4931,7/23/12,
4772,7/24/12,
4389,7/25/12,
4110,7/26/12,
4462,7/27/12,
4120,7/28/12,
4332,7/29/12,
5048,7/30/12,
4911,7/31/12,
4840,8/1/12,
4444,8/2/12,
4862,8/3/12,
4017,8/4/12,
4396,8/5/12,
5186,8/6/12,
5192,8/7/12,
4692,8/8/12,
4700,8/9/12,
4866,8/10/12,
4475,8/11/12,
4609,8/12/12,
5409,8/13/12,
4808,8/14/12,
4617,8/15/12,
4748,8/16/12,
4952,8/17/12,
4213,8/18/12,
4255,8/19/12,
5087,8/20/12,
4763,8/21/12,
4684,8/22/12,
4356,8/23/12,
4717,8/24/12,
3921,8/25/12,
4049,8/26/12,
4983,8/27/12,
4866,8/28/12,
4896,8/29/12,
4576,8/30/12,
4735,8/31/12,
3967,9/1/12,
4176,9/2/12,
4657,9/3/12,
5121,9/4/12,
4916,9/5/12,
4660,9/6/12,
5148,9/7/12,
4644,9/8/12,
4639,9/9/12,
5669,9/10/12,
5278,9/11/12,
4778,9/12/12,
4567,9/13/12,
4838,9/14/12,
4301,9/15/12,
4233,9/16/12,
5111,9/17/12,
4950,9/18/12,
4673,9/19/12,
4441,9/20/12,
4734,9/21/12,
4046,9/22/12,
4013,9/23/12,
4795,9/24/12,
4696,9/25/12,
4714,9/26/12,
4347,9/27/12,
5193,9/28/12,
3969,9/29/12,
4481,9/30/12,
4955,10/1/12,
4824,10/2/12,
4953,10/3/12,
4613,10/4/12,
4908,10/5/12,
4362,10/6/12,
4264,10/7/12,
5017,10/8/12,
4906,10/9/12,
5150,10/10/12,
4872,10/11/12,
5061,10/12/12,
4049,10/13/12,
1415,10/14/12,
3126,10/15/12,
4730,10/16/12,
4902,10/17/12,
4673,10/18/12,
4807,10/19/12,
3854,10/20/12,
4127,10/21/12,
4739,10/22/12,
4810,10/23/12,
4696,10/24/12,
4285,10/25/12,
4574,10/26/12,
4045,10/27/12,
4010,10/28/12,
4716,10/29/12,
4346,10/30/12,
4248,10/31/12,
4508,11/1/12,
4356,11/2/12,
4133,11/3/12,
4438,11/4/12,
4999,11/5/12,
4677,11/6/12,
4625,11/7/12,
4639,11/8/12,
5010,11/9/12,
4405,11/10/12,
4173,11/11/12,
4856,11/12/12,
4626,11/13/12,
5655,11/14/12,
4602,11/15/12,
4623,11/16/12,
3965,11/17/12,
4092,11/18/12,
4661,11/19/12,
4582,11/20/12,
4130,11/21/12,
3339,11/22/12,
4152,11/23/12,
3804,11/24/12,
4357,11/25/12,
5138,11/26/12,
5974,11/27/12,
4673,11/28/12,
4660,11/29/12,
4893,11/30/12,
4264,12/1/12,
4230,12/2/12,
4965,12/3/12,
5168,12/4/12,
4544,12/5/12,
4322,12/6/12,
4610,12/7/12,
4097,12/8/12,
4257,12/9/12,
1459,12/10/12,
4679,12/11/12,
4381,12/12/12,
3344,12/13/12,
5832,12/14/12,
3741,12/15/12,
3991,12/16/12,
4633,12/17/12,
4385,12/18/12,
3829,12/19/12,
4186,12/20/12,
4083,12/21/12,
3741,12/22/12,
3646,12/23/12,
3320,12/24/12,
3123,12/25/12,
4220,12/26/12,
4362,12/27/12,
4563,12/28/12,
4140,12/29/12,
4106,12/30/12,
4447,12/31/12,
3969,1/1/13,
4935,1/2/13,
3925,1/3/13,
5068,1/4/13,
4276,1/5/13,
4311,1/6/13,
5106,1/7/13,
4804,1/8/13,
4711,1/9/13,
4398,1/10/13,
4594,1/11/13,
3838,1/12/13,
4001,1/13/13,
4882,1/14/13,
4717,1/15/13,
4582,1/16/13,
4256,1/17/13,
4424,1/18/13,
3883,1/19/13,
3862,1/20/13,
4416,1/21/13,
4353,1/22/13,
4352,1/23/13,
4362,1/24/13,
4373,1/25/13,
3865,1/26/13,
4039,1/27/13,
4839,1/28/13,
4374,1/29/13,
4481,1/30/13,
4268,1/31/13,
4461,2/1/13,
3957,2/2/13,
3919,2/3/13,
4811,2/4/13,
4605,2/5/13,
4521,2/6/13,
4391,2/7/13,
4417,2/8/13,
3847,2/9/13,
3998,2/10/13,
4643,2/11/13,
4576,2/12/13,
4615,2/13/13,
4346,2/14/13,
4533,2/15/13,
3996,2/16/13,
4005,2/17/13,
4855,2/18/13,
4591,2/19/13,
4438,2/20/13,
4292,2/21/13,
4218,2/22/13,
3874,2/23/13,
3989,2/24/13,
4803,2/25/13,
4388,2/26/13,
4504,2/27/13,
4189,2/28/13,
4537,3/1/13,
3942,3/2/13,
4196,3/3/13,
5051,3/4/13,
4601,3/5/13,
4552,3/6/13,
4351,3/7/13,
4663,3/8/13,
3950,3/9/13,
4036,3/10/13,
4833,3/11/13,
4451,3/12/13,
4166,3/13/13,
4018,3/14/13,
4246,3/15/13,
3934,3/16/13,
4010,3/17/13,
4601,3/18/13,
4188,3/19/13,
4270,3/20/13,
3904,3/21/13,
4109,3/22/13,
3597,3/23/13,
3518,3/24/13,
4227,3/25/13,
4021,3/26/13,
4067,3/27/13,
3637,3/28/13,
4022,3/29/13,
3415,3/30/13,
3492,3/31/13,
4329,4/1/13,
4368,4/2/13,
4397,4/3/13,
4043,4/4/13,
4204,4/5/13,
3577,4/6/13,
3695,4/7/13,
4435,4/8/13,
4070,4/9/13,
4143,4/10/13,
3995,4/11/13,
4126,4/12/13,
3925,4/13/13,
4129,4/14/13,
4733,4/15/13,
4340,4/16/13,
4698,4/17/13,
4308,4/18/13,
4316,4/19/13,
3897,4/20/13,
4070,4/21/13,
4706,4/22/13,
4265,4/23/13,
4388,4/24/13,
4164,4/25/13,
4458,4/26/13,
3783,4/27/13,
4049,4/28/13,
4728,4/29/13,
4555,4/30/13,
4432,5/1/13,
4404,5/2/13,
4632,5/3/13,
4055,5/4/13,
4109,5/5/13,
4595,5/6/13,
4256,5/7/13,
4598,5/8/13,
4240,5/9/13,
4694,5/10/13,
4163,5/11/13,
4009,5/12/13,
4951,5/13/13,
4557,5/14/13,
4388,5/15/13,
4290,5/16/13,
4308,5/17/13,
3855,5/18/13,
4080,5/19/13,
4544,5/20/13,
4105,5/21/13,
4364,5/22/13,
4095,5/23/13,
4255,5/24/13,
3619,5/25/13,
3731,5/26/13,
3915,5/27/13,
4527,5/28/13,
4356,5/29/13,
4376,5/30/13,
4205,5/31/13,
3891,6/1/13,
4171,6/2/13,
4848,6/3/13,
4513,6/4/13,
4187,6/5/13,
4156,6/6/13,
4238,6/7/13,
3871,6/8/13,
3920,6/9/13,
4538,6/10/13,
4158,6/11/13,
4170,6/12/13,
4206,6/13/13,
4233,6/14/13,
3932,6/15/13,
3682,6/16/13,
4582,6/17/13,
4385,6/18/13,
4322,6/19/13,
4295,6/20/13,
4267,6/21/13,
3895,6/22/13,
3815,6/23/13,
4546,6/24/13,
4445,6/25/13,
4248,6/26/13,
4300,6/27/13,
4356,6/28/13,
3937,6/29/13,
3811,6/30/13,
4478,7/1/13,
4475,7/2/13,
4336,7/3/13,
3933,7/4/13,
4425,7/5/13,
3881,7/6/13,
4193,7/7/13,
4715,7/8/13,
4572,7/9/13,
4783,7/10/13,
4234,7/11/13,
4543,7/12/13,
4010,7/13/13,
4074,7/14/13,
4867,7/15/13,
4410,7/16/13,
4563,7/17/13,
4270,7/18/13,
4390,7/19/13,
3963,7/20/13,
4000,7/21/13,
4706,7/22/13,
4422,7/23/13,
4571,7/24/13,
4465,7/25/13,
4287,7/26/13,
4249,7/27/13,
4330,7/28/13,
4750,7/29/13,
4457,7/30/13,
4948,7/31/13,
5113,8/1/13,
4648,8/2/13,
4189,8/3/13,
4057,8/4/13,
4614,8/5/13,
4645,8/6/13,
4700,8/7/13,
4434,8/8/13,
4710,8/9/13,
3847,8/10/13,
4029,8/11/13,
4840,8/12/13,
4654,8/13/13,
4852,8/14/13,
4285,8/15/13,
4709,8/16/13,
4141,8/17/13,
4361,8/18/13,
5167,8/19/13,
4777,8/20/13,
5115,8/21/13,
4836,8/22/13,
4990,8/23/13,
4201,8/24/13,
4162,8/25/13,
5254,8/26/13,
4712,8/27/13,
4950,8/28/13,
4491,8/29/13,
4950,8/30/13,
4484,8/31/13,
4117,9/1/13,
4741,9/2/13,
5073,9/3/13,
4976,9/4/13,
4793,9/5/13,
4933,9/6/13,
4149,9/7/13,
4430,9/8/13,
5125,9/9/13,
4803,9/10/13,
4974,9/11/13,
4604,9/12/13,
5119,9/13/13,
4372,9/14/13,
4506,9/15/13,
5585,9/16/13,
5000,9/17/13,
5202,9/18/13,
5023,9/19/13,
5176,9/20/13,
4565,9/21/13,
3148,9/22/13,
6660,9/23/13,
5106,9/24/13,
5272,9/25/13,
5379,9/26/13,
5248,9/27/13,
4498,9/28/13,
4690,9/29/13,
5947,9/30/13,
5596,10/1/13,
5847,10/2/13,
5130,10/3/13,
5705,10/4/13,
4838,10/5/13,
5159,10/6/13,
5772,10/7/13,
5532,10/8/13,
5591,10/9/13,
5518,10/10/13,
5803,10/11/13,
4740,10/12/13,
4957,10/13/13,
5768,10/14/13,
5592,10/15/13,
2199,10/16/13,
4117,10/17/13,
5683,10/18/13,
5179,10/19/13,
5110,10/20/13,
5845,10/21/13,
5736,10/22/13,
5958,10/23/13,
5449,10/24/13,
5752,10/25/13,
4893,10/26/13,
4946,10/27/13,
5918,10/28/13,
5751,10/29/13,
5999,10/30/13,
5627,10/31/13,
6154,11/1/13,
5298,11/2/13,
5625,11/3/13,
6446,11/4/13,
5991,11/5/13,
6056,11/6/13,
5893,11/7/13,
5835,11/8/13,
5414,11/9/13,
5585,11/10/13,
6471,11/11/13,
5874,11/12/13,
6104,11/13/13,
5797,11/14/13,
6243,11/15/13,
5180,11/16/13,
5559,11/17/13,
6341,11/18/13,
5954,11/19/13,
5978,11/20/13,
5813,11/21/13,
6176,11/22/13,
5042,11/23/13,
5868,11/24/13,
8448,11/25/13,
6791,11/26/13,
6626,11/27/13,
5261,11/28/13,
6189,11/29/13,
5520,11/30/13,
6127,12/1/13,
6914,12/2/13,
6810,12/3/13,
6511,12/4/13,
6218,12/5/13,
6318,12/6/13,
5903,12/7/13,
5693,12/8/13,
6592,12/9/13,
6289,12/10/13,
6278,12/11/13,
6129,12/12/13,
6082,12/13/13,
5502,12/14/13,
5629,12/15/13,
6289,12/16/13,
6004,12/17/13,
6497,12/18/13,
5946,12/19/13,
5914,12/20/13,
5243,12/21/13,
5426,12/22/13,
5839,12/23/13,
4989,12/24/13,
4878,12/25/13,
6308,12/26/13,
6605,12/27/13,
5483,12/28/13,
5981,12/29/13,
6637,12/30/13,
6268,12/31/13,
5837,1/1/14,
7306,1/2/14,
6978,1/3/14,
6224,1/4/14,
6453,1/5/14,
7278,1/6/14,
6845,1/7/14,
6970,1/8/14,
6518,1/9/14,
6611,1/10/14,
5949,1/11/14,
5806,1/12/14,
6796,1/13/14,
6599,1/14/14,
6598,1/15/14,
6221,1/16/14,
6490,1/17/14,
5697,1/18/14,
5324,1/19/14,
6519,1/20/14,
6373,1/21/14,
6456,1/22/14,
6198,1/23/14,
6246,1/24/14,
5824,1/25/14,
5719,1/26/14,
6449,1/27/14,
6465,1/28/14,
6483,1/29/14,
6215,1/30/14,
6762,1/31/14,
6413,2/1/14,
5839,2/2/14,
7274,2/3/14,
6889,2/4/14,
6904,2/5/14,
6584,2/6/14,
7140,2/7/14,
6252,2/8/14,
6200,2/9/14,
7263,2/10/14,
5685,2/11/14,
6464,2/12/14,
6632,2/13/14,
7193,2/14/14,
6284,2/15/14,
6294,2/16/14,
7429,2/17/14,
6663,2/18/14,
6976,2/19/14,
6825,2/20/14,
7235,2/21/14,
6231,2/22/14,
6277,2/23/14,
7860,2/24/14,
7030,2/25/14,
7101,2/26/14,
6824,2/27/14,
6792,2/28/14,
5954,3/1/14,
6021,3/2/14,
7584,3/3/14,
6585,3/4/14,
7126,3/5/14,
6693,3/6/14,
6891,3/7/14,
5907,3/8/14,
5818,3/9/14,
6800,3/10/14,
6585,3/11/14,
6685,3/12/14,
6025,3/13/14,
6692,3/14/14,
5657,3/15/14,
5911,3/16/14,
6743,3/17/14,
6523,3/18/14,
6680,3/19/14,
6264,3/20/14,
6524,3/21/14,
5857,3/22/14,
6195,3/23/14,
7083,3/24/14,
6684,3/25/14,
7440,3/26/14,
6595,3/27/14,
6780,3/28/14,
6233,3/29/14,
6377,3/30/14,
7602,3/31/14,
7674,4/1/14,
8581,4/2/14,
7368,4/3/14,
7526,4/4/14,
6690,4/5/14,
6742,4/6/14,
7859,4/7/14,
7235,4/8/14,
7354,4/9/14,
7035,4/10/14,
7464,4/11/14,
6174,4/12/14,
6471,4/13/14,
7659,4/14/14,
7411,4/15/14,
7373,4/16/14,
7027,4/17/14,
7235,4/18/14,
6251,4/19/14,
6067,4/20/14,
7564,4/21/14,
7587,4/22/14,
7520,4/23/14,
6793,4/24/14,
7482,4/25/14,
6585,4/26/14,
6618,4/27/14,
7439,4/28/14,
7064,4/29/14,
7528,4/30/14,
6916,5/1/14,
7673,5/2/14,
6139,5/3/14,
6682,5/4/14,
7793,5/5/14,
7423,5/6/14,
7191,5/7/14,
7006,5/8/14,
7316,5/9/14,
6314,5/10/14,
6370,5/11/14,
8463,5/12/14,
7628,5/13/14,
7700,5/14/14,
7498,5/15/14,
7589,5/16/14,
6593,5/17/14,
6718,5/18/14,
7470,5/19/14,
7539,5/20/14,
7786,5/21/14,
7267,5/22/14,
7395,5/23/14,
6373,5/24/14,
6560,5/25/14,
7218,5/26/14,
7818,5/27/14,
8027,5/28/14,
7270,5/29/14,
7507,5/30/14,
6432,5/31/14,
6759,6/1/14,
7545,6/2/14,
7402,6/3/14,
7457,6/4/14,
7314,6/5/14,
7124,6/6/14,
6279,6/7/14,
6723,6/8/14,
8065,6/9/14,
8363,6/10/14,
8071,6/11/14,
7134,6/12/14,
6907,6/13/14,
6087,6/14/14,
6292,6/15/14,
7825,6/16/14,
8098,6/17/14,
7918,6/18/14,
7392,6/19/14,
7391,6/20/14,
6438,6/21/14,
6536,6/22/14,
7427,6/23/14,
8399,6/24/14,
7491,6/25/14,
7343,6/26/14,
7261,6/27/14,
6419,6/28/14,
6740,6/29/14,
8193,6/30/14,
8862,7/1/14,
7937,7/2/14,
8056,7/3/14,
6978,7/4/14,
6701,7/5/14,
7065,7/6/14,
8509,7/7/14,
9098,7/8/14,
8271,7/9/14,
8295,7/10/14,
8252,7/11/14,
7154,7/12/14,
6958,7/13/14,
8940,7/14/14,
9565,7/15/14,
8431,7/16/14,
7970,7/17/14,
7964,7/18/14,
7311,7/19/14,
7111,7/20/14,
8303,7/21/14,
9063,7/22/14,
8150,7/23/14,
7828,7/24/14,
7443,7/25/14,
6769,7/26/14,
6738,7/27/14,
8019,7/28/14,
9059,7/29/14,
8357,7/30/14,
8125,7/31/14,
7662,8/1/14,
6910,8/2/14,
6856,8/3/14,
7858,8/4/14,
9131,8/5/14,
9756,8/6/14,
7909,8/7/14,
7922,8/8/14,
6987,8/9/14,
7151,8/10/14,
8462,8/11/14,
8684,8/12/14,
8493,8/13/14,
8045,8/14/14,
7999,8/15/14,
7123,8/16/14,
7368,8/17/14,
8672,8/18/14,
9440,8/19/14,
8321,8/20/14,
8342,8/21/14,
7887,8/22/14,
7152,8/23/14,
6989,8/24/14,
8237,8/25/14,
9114,8/26/14,
8359,8/27/14,
8000,8/28/14,
8117,8/29/14,
7035,8/30/14,
6880,8/31/14,
8009,9/1/14,
9647,9/2/14,
8423,9/3/14,
8376,9/4/14,
8087,9/5/14,
7321,9/6/14,
7194,9/7/14,
8508,9/8/14,
9894,9/9/14,
9481,9/10/14,
8377,9/11/14,
8230,9/12/14,
7652,9/13/14,
7703,9/14/14,
9321,9/15/14,
10108,9/16/14,
9486,9/17/14,
8957,9/18/14,
8511,9/19/14,
7442,9/20/14,
7635,9/21/14,
8889,9/22/14,
9754,9/23/14,
8893,9/24/14,
8908,9/25/14,
8407,9/26/14,
7342,9/27/14,
7800,9/28/14,
8586,9/29/14,
10121,9/30/14,
9585,10/1/14,
8936,10/2/14,
8837,10/3/14,
7818,10/4/14,
8277,10/5/14,
9378,10/6/14,
10264,10/7/14,
9748,10/8/14,
8968,10/9/14,
8898,10/10/14,
7544,10/11/14,
7384,10/12/14,
8807,10/13/14,
10325,10/14/14,
9636,10/15/14,
9360,10/16/14,
8944,10/17/14,
8078,10/18/14,
7775,10/19/14,
9068,10/20/14,
10175,10/21/14,
9782,10/22/14,
9467,10/23/14,
8778,10/24/14,
8073,10/25/14,
7866,10/26/14,
9169,10/27/14,
10747,10/28/14,
9618,10/29/14,
9310,10/30/14,
8744,10/31/14,
7788,11/1/14,
8330,11/2/14,
9160,11/3/14,
10495,11/4/14,
9886,11/5/14,
9152,11/6/14,
8710,11/7/14,
8057,11/8/14,
8198,11/9/14,
9348,11/10/14,
10071,11/11/14,
9444,11/12/14,
9144,11/13/14,
8958,11/14/14,
8107,11/15/14,
8201,11/16/14,
9632,11/17/14,
10452,11/18/14,
9796,11/19/14,
8960,11/20/14,
9100,11/21/14,
8009,11/22/14,
7974,11/23/14,
9288,11/24/14,
10033,11/25/14,
9270,11/26/14,
8198,11/27/14,
8209,11/28/14,
8132,11/29/14,
8527,11/30/14,
10416,12/1/14,
11562,12/2/14,
10617,12/3/14,
10174,12/4/14,
9579,12/5/14,
8590,12/6/14,
8305,12/7/14,
9380,12/8/14,
10513,12/9/14,
9457,12/10/14,
8808,12/11/14,
8902,12/12/14,
7470,12/13/14,
7836,12/14/14,
9292,12/15/14,
10670,12/16/14,
9792,12/17/14,
9507,12/18/14,
9156,12/19/14,
7953,12/20/14,
8028,12/21/14,
9052,12/22/14,
10204,12/23/14,
8278,12/24/14,
7070,12/25/14,
8390,12/26/14,
8343,12/27/14,
8405,12/28/14,
9815,12/29/14,
11087,12/30/14,
9756,12/31/14,
9018,1/1/15,
10118,1/2/15,
9302,1/3/15,
9496,1/4/15,
11781,1/5/15,
13034,1/6/15,
11973,1/7/15,
10788,1/8/15,
10334,1/9/15,
8969,1/10/15,
9135,1/11/15,
10382,1/12/15,
11435,1/13/15,
11004,1/14/15,
9976,1/15/15,
9606,1/16/15,
8663,1/17/15,
8664,1/18/15,
10716,1/19/15,
12123,1/20/15,
11525,1/21/15,
10196,1/22/15,
9587,1/23/15,
8203,1/24/15,
8564,1/25/15,
10076,1/26/15,
10878,1/27/15,
10744,1/28/15,
10899,1/29/15,
10271,1/30/15,
8894,1/31/15,
8978,2/1/15,
11007,2/2/15,
11912,2/3/15,
11374,2/4/15,
10226,2/5/15,
10174,2/6/15,
9098,2/7/15,
9333,2/8/15,
10343,2/9/15,
11557,2/10/15,
10545,2/11/15,
10107,2/12/15,
9811,2/13/15,
8359,2/14/15,
8792,2/15/15,
10228,2/16/15,
11464,2/17/15,
10975,2/18/15,
10480,2/19/15,
10233,2/20/15,
9073,2/21/15,
8884,2/22/15,
9790,2/23/15,
11213,2/24/15,
10775,2/25/15,
10160,2/26/15,
9913,2/27/15,
9333,2/28/15,
9232,3/1/15,
10454,3/2/15,
11435,3/3/15,
10999,3/4/15,
10695,3/5/15,
9955,3/6/15,
9155,3/7/15,
9105,3/8/15,
10069,3/9/15,
11722,3/10/15,
11192,3/11/15,
10569,3/12/15,
9841,3/13/15,
9168,3/14/15,
9099,3/15/15,
10375,3/16/15,
11496,3/17/15,
11316,3/18/15,
10441,3/19/15,
10471,3/20/15,
9137,3/21/15,
9229,3/22/15,
10160,3/23/15,
11566,3/24/15,
10462,3/25/15,
10251,3/26/15,
9887,3/27/15,
8926,3/28/15,
9077,3/29/15,
10345,3/30/15,
11413,3/31/15,
10835,4/1/15,
10628,4/2/15,
9397,4/3/15,
9095,4/4/15,
8890,4/5/15,
10833,4/6/15,
12311,4/7/15,
11225,4/8/15,
10977,4/9/15,
10161,4/10/15,
9184,4/11/15,
9298,4/12/15,
10585,4/13/15,
12150,4/14/15,
11281,4/15/15,
11668,4/16/15,
11122,4/17/15,
9783,4/18/15,
9895,4/19/15,
11290,4/20/15,
12620,4/21/15,
11428,4/22/15,
10916,4/23/15,
10113,4/24/15,
9240,4/25/15,
9590,4/26/15,
10113,4/27/15,
3718,4/28/15,
11021,4/29/15,
10949,4/30/15,
9861,5/1/15,
8949,5/2/15,
9443,5/3/15,
10978,5/4/15,
12320,5/5/15,
12000,5/6/15,
11546,5/7/15,
10609,5/8/15,
9813,5/9/15,
9502,5/10/15,
11271,5/11/15,
12166,5/12/15,
11802,5/13/15,
11603,5/14/15,
10711,5/15/15,
9777,5/16/15,
9940,5/17/15,
10869,5/18/15,
12878,5/19/15,
11824,5/20/15,
11761,5/21/15,
10376,5/22/15,
9362,5/23/15,
8963,5/24/15,
10578,5/25/15,
12695,5/26/15,
10929,5/27/15,
12727,5/28/15,
12049,5/29/15,
10900,5/30/15,
10677,5/31/15,
12175,6/1/15,
13268,6/2/15,
12413,6/3/15,
12013,6/4/15,
9945,6/6/15,
9657,6/7/15,
12100,6/9/15,
11705,6/10/15,
9961,6/13/15,
9702,6/14/15,
11763,6/15/15,
12749,6/16/15,
10741,6/19/15,
10229,6/28/15,
,9693860,total
