category_code,description_code,description
14,3900,Animal Control
14,3910,Private Detectives and Investigators
14,3930,Security Guards and Gaming Surveillance Officers
14,3940,Crossing Guards
14,3950,"Law enforcement workers, nec"
15,4000,Chefs and Cooks
15,4010,First-Line Supervisors of Food Preparation and Serving Workers
15,4030,Food Preparation Workers
15,4040,Bartenders
15,4050,"Combined Food Preparation and Serving Workers, Including Fast Food"
15,4060,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop"
15,4110,Waiters and Waitresses
15,4120,"Food Servers, Nonrestaurant"
15,4130,"Food preparation and serving related workers, nec"
15,4140,Dishwashers
15,4150,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop"
16,4200,First-Line Supervisors of Housekeeping and Janitorial Workers
16,4210,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
16,4220,Janitors and Building Cleaners
16,4230,Maids and Housekeeping Cleaners
16,4240,Pest Control Workers
16,4250,Grounds Maintenance Workers
17,4300,First-Line Supervisors of Gaming Workers
17,4320,First-Line Supervisors of Personal Service Workers
17,4340,Animal Trainers
17,4350,Nonfarm Animal Caretakers
17,4400,Gaming Services Workers
17,4420,"Ushers, Lobby Attendants, and Ticket Takers"
17,4430,"Entertainment Attendants and Related Workers, nec"
17,4460,Funeral Service Workers and Embalmers
17,4500,Barbers
17,4510,"Hairdressers, Hairstylists, and Cosmetologists"
17,4520,"Personal Appearance Workers, nec"
17,4530,"Baggage Porters, Bellhops, and Concierges"
17,4540,Tour and Travel Guides
17,4600,Childcare Workers
17,4610,Personal Care Aides
17,4620,Recreation and Fitness Workers
17,4640,Residential Advisors
17,4650,"Personal Care and Service Workers, All Other"
18,4700,First-Line Supervisors of Sales Workers
18,4720,Cashiers
18,4740,Counter and Rental Clerks
18,4750,Parts Salespersons
18,4760,Retail Salespersons
18,4800,Advertising Sales Agents
18,4810,Insurance Sales Agents
18,4820,"Securities, Commodities, and Financial Services Sales Agents"
18,4830,Travel Agents
18,4840,"Sales Representatives, Services, All Other"
18,4850,"Sales Representatives, Wholesale and Manufacturing"
18,4900,"Models, Demonstrators, and Product Promoters"
18,4920,Real Estate Brokers and Sales Agents
18,4930,Sales Engineers
18,4940,Telemarketers
18,4950,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
18,4965,"Sales and Related Workers, All Other"
19,5000,First-Line Supervisors of Office and Administrative Support Workers
19,5010,"Switchboard Operators, Including Answering Service"
19,5020,Telephone Operators
19,5030,"Communications Equipment Operators, All Other"
19,5100,Bill and Account Collectors
19,5110,Billing and Posting Clerks
19,5120,"Bookkeeping, Accounting, and Auditing Clerks"
19,5130,Gaming Cage Workers
19,5140,Payroll and Timekeeping Clerks
19,5150,Procurement Clerks
19,5160,Bank Tellers
19,5165,"Financial Clerks, nec"
19,5200,Brokerage Clerks
19,5220,"Court, Municipal, and License Clerks"
19,5230,"Credit Authorizers, Checkers, and Clerks"
19,5240,Customer Service Representatives
19,5250,"Eligibility Interviewers, Government Programs"
19,5260,File Clerks
19,5300,"Hotel, Motel, and Resort Desk Clerks"
19,5310,"Interviewers, Except Eligibility and Loan"
19,5320,"Library Assistants, Clerical"
19,5330,Loan Interviewers and Clerks
19,5340,New Account Clerks
19,5350,Correspondent clerks and order clerks
19,5360,"Human Resources Assistants, Except Payroll and Timekeeping"
19,5400,Receptionists and Information Clerks
19,5410,Reservation and Transportation Ticket Agents and Travel Clerks
19,5420,"Information and Record Clerks, All Other"
19,5500,Cargo and Freight Agents
19,5510,Couriers and Messengers
19,5520,Dispatchers
19,5530,"Meter Readers, Utilities"
19,5540,Postal Service Clerks
19,5550,Postal Service Mail Carriers
19,5560,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
19,5600,"Production, Planning, and Expediting Clerks"
19,5610,"Shipping, Receiving, and Traffic Clerks"
19,5620,Stock Clerks and Order Fillers
19,5630,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
