f,ict
48357,2
48093,2
01129,2
40145,3
02100,2
02105,2
40147,2
19159,1
39109,7
19155,1
39105,4
19157,1
39107,4
19151,1
39101,4
19153,1
39103,8
40029,1
40143,3
48025,2
22009,3
40027,3
22001,3
22003,3
22005,3
13029,4
22007,4
46137,3
40023,1
46135,3
40021,2
51600,4
32013,2
32011,2
51840,2
32017,2
32015,2
47081,1
32019,3
26157,6
41001,7
26155,6
42057,7
12019,3
42051,5
26151,6
42053,4
12015,4
12017,3
12011,8
42059,5
12013,2
51115,3
46009,3
51111,3
51113,2
46003,3
46007,3
46005,3
17031,6
17033,4
48021,5
17035,4
05139,4
05137,4
05135,4
05133,4
05131,4
54027,1
12129,2
05003,4
26021,3
05001,4
26027,3
05007,4
26025,5
05005,4
12121,3
12123,2
05009,4
12125,2
12127,7
48261,1
01025,2
01027,2
01021,2
01023,2
01029,2
37009,2
37007,3
37005,2
37003,3
37001,3
48365,1
48367,3
42129,5
48237,1
42125,5
42127,4
42121,5
42123,4
48091,5
48235,2
48233,2
51065,3
48149,5
48419,1
48145,4
48147,2
48141,5
48143,4
01111,2
01113,2
01115,2
01117,3
01119,2
45061,3
13059,4
45065,3
45067,3
13053,5
13051,4
13057,7
13055,4
48231,3
01045,2
37177,1
37175,3
37173,2
37171,2
37179,3
54085,1
54087,1
54081,1
54083,1
54089,1
31129,2
31127,2
31125,2
31123,2
31121,2
18149,5
37125,2
18141,5
18143,4
18145,4
18147,2
37127,2
37121,3
29109,2
46011,3
05093,4
29101,2
29103,2
37123,2
29105,2
29107,2
55111,6
55113,2
55115,7
55117,6
48303,2
55119,4
34041,4
46013,3
48301,2
48307,3
48305,2
47035,1
47037,3
47031,1
47033,1
02130,2
47039,1
55029,6
19149,2
39171,4
19147,1
39173,9
19145,1
39175,4
19143,2
55023,4
19141,2
40141,2
22019,3
22013,3
22011,3
22017,4
22015,4
46129,3
46121,3
46123,3
46125,3
46127,3
39005,6
39007,7
39001,5
39003,7
51610,4
51530,2
39009,5
48447,2
56041,2
56045,2
32009,2
32005,3
32007,2
32001,2
32003,3
42021,7
26141,4
42023,6
26143,6
42025,4
26145,6
42027,8
26147,6
42029,3
26149,3
12005,3
12003,3
12001,3
51107,5
51105,2
51103,3
51101,2
51109,3
05109,4
51059,5
05103,4
05101,4
05107,4
05105,4
13289,5
13287,2
13285,3
13283,2
13281,3
31163,2
48127,1
