f,ict
17179,6
01071,1
51141,2
48339,5
48337,1
48335,2
48333,3
48331,3
48117,2
48115,2
48113,4
48111,2
40153,2
40151,2
48119,1
48417,2
48415,2
13089,3
13085,4
13087,1
13081,1
13083,2
48413,2
13243,1
13241,2
13247,3
13245,2
13249,1
48411,3
34031,3
48063,1
48061,3
48067,1
48065,2
48069,2
20043,2
20041,3
20047,2
20045,3
37189,1
37187,1
20049,3
37185,1
37183,2
37181,2
01095,1
01097,1
01091,1
34039,3
01093,1
01099,1
18171,3
18173,2
18175,2
18177,2
18179,4
54035,1
54037,1
54031,1
54033,1
54039,1
29131,2
29133,2
29135,2
29137,2
29139,2
18085,4
18087,3
18081,2
18083,1
18089,2
48097,2
31009,3
40119,2
35059,4
31005,3
35057,4
31007,3
35055,4
31001,3
35053,4
31003,3
35051,4
45069,3
40115,3
55129,1
48099,4
55121,3
55123,3
55125,1
55127,6
31171,3
31173,2
28083,1
28081,1
31179,3
28089,2
51079,3
47009,3
47005,2
47007,2
47001,3
47003,2
19111,2
39141,3
19113,2
39143,3
19115,2
39145,4
19117,2
39147,4
19119,3
39149,3
55019,1
51077,1
49037,4
51057,3
49035,6
51051,2
46035,3
49033,4
02070,2
51053,3
19029,2
39039,4
16039,4
19025,2
39035,7
16035,3
39037,3
19021,2
39031,2
16031,4
39033,3
37139,1
51800,2
19169,2
12051,2
12053,4
12055,1
12057,6
12059,1
42019,4
46049,3
46047,3
42011,7
46045,3
42013,6
46043,3
42015,4
46041,3
42017,2
51159,2
48347,1
51153,4
51155,4
51157,2
48345,2
48343,1
48341,2
55001,2
26067,4
05099,1
26065,5
26063,5
26061,3
02261,2
26069,5
17189,4
17181,3
17183,4
17185,4
17187,4
01069,1
17165,3
17163,3
17161,4
01061,1
01063,1
01065,1
01067,1
49023,4
48329,2
48321,2
48323,1
48325,2
48327,2
48101,2
48103,2
48105,2
48107,2
48109,1
48459,1
13099,1
13097,3
13095,1
13093,1
13091,1
48215,3
48217,3
13259,2
48213,2
13255,4
13257,2
13251,2
13253,1
37097,2
48079,2
48075,2
48077,1
30061,3
48073,1
20059,2
20055,2
20057,2
20051,3
20053,3
01087,1
01085,1
01083,1
01081,1
40149,2
01089,2
05149,3
18181,3
18183,3
05147,2
54025,1
54023,1
54021,1
30063,3
54029,1
30015,3
30017,3
30011,3
30013,3
31019,3
31017,3
35061,4
31015,3
30019,3
31013,3
31011,3
48507,1
51069,2
23011,2
28091,1
23013,2
28093,1
23015,2
28095,1
23017,2
28097,1
23019,2
28099,1
31169,3
47079,2
49025,4
47071,2
47073,1
47075,4
47077,2
55061,4
19103,2
55063,2
19101,2
51036,3
19107,2
55067,3
19105,2
55069,3
19109,2
55031,1
47105,3
47107,2
47101,2
47103,2
47109,2
29067,2
39049,4
16029,4
19039,2
39041,4
19037,2
39043,3
19035,2
39045,4
19033,2
39047,2
19031,2
51810,2
33015,1
12043,1
12041,2
12047,1
48395,3
12045,1
12049,1
33011,1
46059,3
46051,3
13147,2
46055,3
46057,3
37029,1
51149,3
01007,1
51143,2
29069,2
51147,2
51145,3
33019,1
02275,2
48397,3
02270,2
26071,2
26073,6
26075,4
26077,5
26079,3
47047,4
51063,3
17153,3
48269,2
17151,3
17157,4
17155,5
05091,1
17159,4
05095,1
05097,2
48183,1
13319,2
13315,1
13317,2
13311,2
13313,2
17081,3
17083,4
17085,4
17087,3
17089,3
05145,3
48187,3
05143,3
05141,3
48469,1
48467,1
48465,1
45063,4
48463,1
48461,2
20119,2
20115,3
20117,2
20111,2
20113,3
13229,1
48263,2
48265,1
48267,2
13221,2
13223,3
13225,2
13227,4
55091,2
40049,2
40045,2
40047,3
40041,3
40043,2
48009,1
48001,1
48003,2
48005,1
48007,2
20029,2
48167,4
20021,2
20023,2
20025,2
20027,2
13135,3
13137,2
13131,1
13133,3
40139,2
13139,4
55053,3
54013,1
54011,1
54017,1
54015,1
54019,1
48485,1
48487,1
38019,3
48483,2
38015,3
30075,3
38017,3
05049,2
38011,3
38013,2
05047,3
48169,2
30007,3
31029,3
30005,3
30003,3
30001,3
31023,3
31021,3
31027,3
31025,3
30009,3
55027,6
23003,2
23001,2
28069,1
23007,2
31159,3
23005,2
31157,3
31155,3
23009,2
31153,4
28063,1
47069,2
29153,2
47063,3
47061,2
47067,1
47065,2
40131,5
55071,5
55077,1
19139,2
55075,5
19137,2
19135,2
55079,4
19133,2
40133,3
19131,2
40135,3
40137,2
02050,2
47117,2
47115,2
47113,2
13035,3
47119,2
01131,1
40035,3
28115,1
28117,1
39059,2
28111,1
28113,1
19003,2
39053,3
19001,2
39051,5
28119,1
39057,4
19005,3
39055,5
12079,1
12077,1
12075,2
12073,1
12071,3
51177,3
49011,6
51175,2
51173,2
51171,2
49013,4
51179,3
51775,4
51770,4
48449,1
49015,4
46083,3
46081,3
46087,3
49017,4
46085,3
49055,4
46089,3
49051,4
49053,4
39075,3
26089,3
26085,3
26087,6
26081,4
26083,2
05089,3
17149,4
05083,3
05081,1
05087,3
05085,3
13309,1
13307,2
13305,2
13303,2
13301,2
12095,5
17093,5
12097,5
17091,5
12091,2
17097,5
12093,2
17095,5
17099,5
12099,8
48479,2
48471,4
48473,5
48475,2
48477,4
55025,4
20109,2
20107,2
20105,3
20103,2
20101,2
51075,3
55021,3
51073,3
48273,2
13239,1
48277,1
48275,2
13233,3
13231,2
13237,1
13235,1
01079,1
40059,2
40057,2
40055,2
40053,2
40051,4
48019,2
29099,2
29097,2
48013,2
29095,2
48011,2
29093,2
48017,2
29091,2
48015,4
20039,2
20033,2
20031,2
20037,2
20035,3
37087,2
13127,2
37085,2
13125,2
37083,1
13123,2
37081,2
13121,4
40129,2
37089,2
13129,2
54009,1
54005,1
54007,1
54001,1
54003,1
48497,2
48495,2
48493,2
38009,2
38007,3
38005,3
38003,3
38001,3
30033,3
30031,3
30037,3
30035,3
30039,3
18035,3
18037,2
18031,2
18033,3
48489,1
18039,4
29075,2
31149,3
29077,2
29071,2
29073,2
28079,1
31141,3
31143,3
29079,2
31145,3
23031,2
28071,1
47057,3
47055,2
02195,2
47051,2
02198,2
47059,1
48059,2
19129,2
55049,3
55047,1
19121,2
55045,3
19123,2
55043,3
19125,2
51540,3
19127,2
35001,4
31035,3
35003,4
31037,3
35005,4
31031,3
35007,4
31033,3
35009,4
31039,3
48441,2
48443,1
47123,3
47121,2
47127,2
47125,4
48445,2
47129,3
39067,3
19015,2
39065,3
19017,2
39063,4
19011,2
39061,7
19013,2
19019,2
39069,4
28107,1
28105,1
28103,1
28101,1
28109,1
12069,5
01043,1
12061,3
12063,1
12065,1
12067,1
51161,4
51163,2
51165,2
51167,2
51169,1
51760,4
48045,2
46099,3
49049,5
46095,3
46097,3
46091,3
46093,3
48297,1
26099,9
26097,4
26095,2
26093,5
26091,2
56043,2
29167,2
17139,4
28065,1
17131,4
17133,3
17135,4
29169,2
17137,4
28061,1
12086,9
12087,2
12085,3
12083,3
12081,4
12089,2
17045,4
17047,4
17041,4
17043,3
20133,2
20131,2
20137,2
20135,2
13207,2
13205,1
13201,1
13209,1
48249,2
48247,1
48245,5
48243,1
48241,2
45015,4
40069,2
45011,3
45013,3
46015,3
40063,2
40061,2
40067,2
40065,2
20007,2
29089,2
20005,2
46017,3
20003,2
20001,2
29081,2
29083,2
29085,2
20009,2
29087,2
12009,6
13113,4
37091,1
13111,2
37093,1
13117,4
37095,1
13115,3
12007,2
40117,2
37099,2
13119,2
40113,2
40111,3
46019,3
54079,1
54043,1
54071,1
54073,1
54075,1
54077,1
38039,3
38033,2
38031,3
38037,3
38035,3
51790,3
34019,3
30029,3
55073,3
34011,3
30025,3
34013,3
30027,3
34015,3
30021,3
34017,3
30023,3
54105,1
18027,2
54107,1
18025,2
54101,1
18023,3
54103,1
18021,2
54109,1
18029,1
38105,2
38103,3
51009,2
38101,3
23029,2
28049,2
29065,2
29063,2
29061,2
28043,1
23021,2
28041,1
23023,2
28047,1
23025,2
28045,1
23027,2
47041,1
02180,2
47043,2
47045,2
02185,2
47049,1
02188,2
01073,2
51550,2
51001,2
55059,4
55051,1
51570,3
55055,6
55057,4
31041,3
35013,4
31043,3
35011,4
31045,3
35017,4
31047,3
35015,4
31049,3
35019,4
51680,2
51683,2
51685,2
47139,2
47135,2
47137,1
47131,2
47133,1
19061,2
39071,3
19063,3
39073,2
19065,3
29173,2
19067,2
39077,4
19069,2
39079,3
28133,1
28131,1
28137,1
28135,1
28139,1
55017,2
22105,3
51199,3
40013,2
51195,2
51197,2
16049,3
51191,2
51193,3
22081,4
22083,3
40011,2
22085,3
22087,4
19095,2
22089,4
40017,4
19097,2
40015,2
16043,3
16041,4
02220,2
47111,1
17129,4
13321,1
17123,5
17121,3
17127,3
17125,4
26135,4
26137,5
26131,2
26133,3
26139,4
20125,2
20127,2
20121,2
20123,2
20129,2
17057,5
17055,3
17053,4
12133,1
48383,3
48381,2
48387,1
17059,3
13211,2
12131,2
13215,3
13217,3
13219,3
01041,1
48259,2
48251,3
26033,2
48255,1
48257,2
45007,3
45005,3
45003,3
45001,3
48039,4
45009,3
20011,2
20013,2
20015,3
20017,3
20019,3
01047,1
19009,2
40109,5
37069,1
13109,2
37065,1
13105,2
37067,1
13107,2
37061,1
13101,1
37063,2
13103,2
48221,3
04009,6
38025,2
29183,2
38027,3
29185,2
38021,3
29187,2
29186,2
04001,6
54063,1
04003,6
54061,1
04005,6
38029,3
04007,6
54065,1
19007,2
40075,2
40077,2
40071,2
40073,2
40079,2
30059,3
34009,3
30051,3
34003,3
30053,3
17051,4
30055,3
34007,3
30057,3
34005,3
18013,2
18011,3
18017,3
18015,3
18019,1
28055,1
28057,1
28051,1
28053,1
28059,1
29053,2
29051,2
29057,2
29055,2
29059,2
48385,1
37119,2
13213,2
31185,3
31181,3
31183,3
48481,2
31053,3
31051,3
31057,3
35029,4
31055,4
35027,4
35025,4
31059,3
35023,4
35021,4
55083,5
55081,3
55087,5
55085,2
55089,4
47149,4
51690,4
47141,1
47143,2
47145,3
47147,4
19073,2
19071,2
39089,4
19077,2
19075,2
39085,6
39087,3
19079,2
39081,3
39083,3
28129,1
28125,1
28127,1
28121,2
28123,2
16083,4
16081,3
16087,4
16085,4
48253,2
02150,2
51187,2
51185,2
51183,2
51181,2
55013,1
22093,4
22091,4
22097,3
22095,4
22099,2
51740,2
48031,2
17203,5
17201,5
48033,2
02230,2
48035,3
48037,1
17117,4
17115,4
05059,2
17111,5
05055,2
05057,1
05051,2
05053,3
42087,7
26127,4
42085,4
26125,9
42083,4
26123,3
42081,4
26121,4
42089,4
26129,5
20151,2
10005,2
16047,4
20155,3
10001,2
20157,2
10003,2
20159,2
17063,5
48423,1
17061,4
17067,4
17065,3
17069,3
48421,2
30077,3
34021,3
48427,2
28085,1
48425,4
29141,2
49057,5
34025,3
45033,3
45031,3
45037,3
29143,2
45035,4
45039,4
56021,2
48283,1
48281,4
48287,5
48285,1
34029,3
48289,3
13179,2
37079,1
13171,3
37077,2
13173,1
37075,1
13175,2
37073,1
13177,1
37071,2
54057,1
54055,1
54053,1
54051,1
54059,1
38051,3
38053,2
04019,10
38055,3
29197,2
38057,3
29195,2
04012,6
04013,10
29199,2
04017,6
04015,6
13005,1
13007,1
13001,1
13003,1
40009,2
13009,1
30049,3
30043,3
30041,3
30047,3
30045,3
18009,3
40101,3
18005,2
18007,3
18001,3
18003,4
28021,1
28023,1
40103,2
28025,1
20203,2
28029,1
45091,3
37133,1
20209,2
55037,1
40105,2
37107,1
37105,1
29049,1
37101,1
29045,2
29047,2
29041,2
29510,2
29043,2
51510,4
51515,3
34037,3
35039,4
34035,3
34033,3
31069,3
31067,3
35031,4
31065,3
35033,4
31063,3
35035,4
31061,3
35037,4
51021,2
02090,2
55099,1
55015,5
19191,3
55095,2
19193,3
55097,2
19195,2
51023,4
