f,ict
48357,2
48093,2
01129,1
40145,1
02100,1
02105,1
40147,1
19159,3
39109,6
19155,2
39105,3
19157,3
39107,3
19151,2
39101,3
19153,3
39103,5
40029,1
40143,1
48025,3
22009,3
40027,1
22001,3
22003,3
22005,3
13029,2
22007,3
46137,2
40023,1
46135,2
40021,1
51600,5
32013,2
32011,2
51840,4
32017,2
32015,2
47081,1
32019,3
26157,6
41001,4
26155,8
42057,5
12019,3
42051,2
26151,7
42053,2
12015,3
12017,2
12011,5
42059,2
12013,1
51115,3
46009,2
51111,4
51113,2
46003,2
46007,2
46005,2
17031,4
17033,2
48021,4
17035,2
05139,4
05137,4
05135,4
05133,4
05131,4
54027,1
12129,1
05003,4
26021,4
05001,4
26027,4
05007,4
26025,5
05005,4
12121,2
12123,1
05009,4
12125,1
12127,5
48261,2
01025,1
01027,1
01021,1
01023,1
01029,1
37009,1
37007,1
37005,1
37003,1
37001,1
48365,1
48367,1
42129,3
48237,1
42125,3
42127,3
42121,2
42123,2
48091,4
48235,3
48233,2
51065,3
48149,5
48419,1
48145,4
48147,2
48141,4
48143,4
01111,1
01113,1
01115,1
01117,1
01119,1
45061,2
13059,3
45065,2
45067,2
13053,3
13051,3
13057,6
13055,3
48231,1
01045,1
37177,1
37175,1
37173,1
37171,1
37179,1
54085,1
54087,1
54081,1
54083,1
54089,1
31129,3
31127,3
31125,3
31123,3
31121,3
18149,5
37125,1
18141,6
18143,4
18145,4
18147,4
37127,1
37121,1
29109,2
46011,2
05093,4
29101,2
29103,1
37123,1
29105,2
29107,2
55111,6
55113,2
55115,6
55117,5
48303,2
55119,3
34041,4
46013,2
48301,2
48307,4
48305,2
47035,1
47037,3
47031,1
47033,1
02130,1
47039,1
55029,5
19149,3
39171,3
19147,2
39173,7
19145,2
39175,3
19143,2
55023,4
19141,3
40141,1
22019,3
22013,3
22011,3
22017,3
22015,3
46129,2
46121,2
46123,2
46125,2
46127,2
39005,5
39007,5
39001,4
39003,5
51610,5
51530,2
39009,3
48447,2
56041,1
56045,1
32009,2
32005,3
32007,2
32001,2
32003,4
42021,4
26141,5
42023,4
26143,6
42025,3
26145,6
42027,6
26147,7
42029,2
26149,4
12005,2
12003,2
12001,2
51107,6
51105,2
51103,3
51101,3
51109,4
05109,4
51059,6
05103,4
05101,4
05107,4
05105,4
13289,3
13287,1
13285,2
13283,2
13281,2
31163,3
48127,1
