f,ict
48357,2
48093,2
01129,2
40145,2
02100,2
02105,2
40147,2
19159,2
39109,8
19155,3
39105,6
19157,3
39107,5
19151,3
39101,5
19153,3
39103,8
40029,2
40143,2
48025,3
22009,4
40027,2
22001,4
22003,4
22005,4
13029,4
22007,4
46137,2
40023,2
46135,2
40021,2
51600,5
32013,2
32011,2
51840,4
32017,2
32015,2
47081,2
32019,3
26157,6
41001,5
26155,8
42057,6
12019,5
42051,4
26151,7
42053,3
12015,4
12017,3
12011,7
42059,4
12013,2
51115,3
46009,2
51111,4
51113,2
46003,2
46007,2
46005,2
17031,7
17033,3
48021,5
17035,3
05139,5
05137,5
05135,5
05133,5
05131,5
54027,1
12129,2
05003,5
26021,4
05001,5
26027,5
05007,5
26025,6
05005,5
12121,3
12123,2
05009,5
12125,2
12127,7
48261,2
01025,2
01027,2
01021,2
01023,2
01029,2
37009,2
37007,3
37005,2
37003,3
37001,3
48365,1
48367,2
42129,5
48237,1
42125,5
42127,4
42121,4
42123,3
48091,6
48235,3
48233,2
51065,3
48149,6
48419,1
48145,5
48147,2
48141,5
48143,4
01111,2
01113,2
01115,3
01117,3
01119,2
45061,2
13059,5
45065,2
45067,2
13053,5
13051,5
13057,8
13055,4
48231,2
01045,2
37177,1
37175,3
37173,2
37171,2
37179,3
54085,1
54087,1
54081,1
54083,1
54089,1
31129,4
31127,4
31125,4
31123,4
31121,4
18149,6
37125,2
18141,7
18143,5
18145,5
18147,5
37127,2
37121,3
29109,3
46011,2
05093,5
29101,3
29103,3
37123,2
29105,3
29107,3
55111,7
55113,2
55115,7
55117,6
48303,3
55119,4
34041,5
46013,2
48301,2
48307,4
48305,3
47035,2
47037,4
47031,2
47033,2
02130,2
47039,2
55029,6
19149,2
39171,4
19147,2
39173,10
19145,3
39175,5
19143,2
55023,4
19141,2
40141,2
22019,4
22013,4
22011,4
22017,4
22015,4
46129,2
46121,2
46123,2
46125,2
46127,2
39005,7
39007,7
39001,6
39003,7
51610,5
51530,2
39009,6
48447,2
56041,1
56045,1
32009,2
32005,3
32007,2
32001,2
32003,4
42021,6
26141,5
42023,5
26143,6
42025,4
26145,6
42027,7
26147,7
42029,4
26149,4
12005,3
12003,3
12001,3
51107,6
51105,2
51103,3
51101,3
51109,4
05109,5
51059,6
05103,5
05101,5
05107,5
05105,5
13289,5
13287,2
13285,3
13283,4
13281,3
31163,4
48127,1
