Sarasota,Florida,FL,United States of America,/cities/sarasota,,Dec,2014,https://newsroom.uber.com/florida/uber-florida-is-expanding-across-the-sunshine-state-3/,27.33,-82.53
Tallahassee,Florida,FL,United States of America,/cities/tallahassee,,Aug,2014,http://www.tallahassee.com/story/news/money/2014/08/28/uber-technologies-brings-ride-service-to-tallahassee/14764623/,30.43,-84.28
Tampa Bay,Florida,FL,United States of America,/cities/tampa,,Apr,2014,https://newsroom.uber.com/florida/tampa-bay-its-our-birthday/,27.97,-82.48
Athens,Georgia,GA,United States of America,/cities/athens,,Aug,2014,http://flagpole.com/news/in-the-loop/uber-is-here,33.96,-83.37
Atlanta,Georgia,GA,United States of America,/cities/atlanta,,Aug,2012,https://newsroom.uber.com/atlanta/uber-atlanta-launches-spottieottiedopaliscious/,33.76,-84.39
Augusta,Georgia,GA,United States of America,/cities/augusta,,Apr,2015,http://chronicle.augusta.com/news/business/2015-04-06/uber-ride-sharing-begins-augusta,33.47,-81.97
Georgia Coast,Georgia,GA,United States of America,/cities/georgia-coast,,,,,31.1,-81.58
Savannah-Hilton Head,Georgia,GA,United States of America,/cities/savannah,,May,2015,https://newsroom.uber.com/georgia/uber-just-rolled-into-savannah/,32.02,-81.12
Honolulu,Hawaii,HI,United States of America,/cities/honolulu,,Aug,2013,https://newsroom.uber.com/honolulu/uber-launches-in-honolulu-with-a-splash/,21.3,-157.82
Maui,Hawaii,HI,United States of America,/cities/maui,,Dec,2014,https://newsroom.uber.com/maui/say-aloha-to-uber-on-maui/,20.8,-156.33
Boise,Idaho,ID,United States of America,/cities/boise,,Oct,2014,https://newsroom.uber.com/idaho/uber-launches-in-boise-with-free-rides/,43.61,-116.2
Coeur D'Alene,Idaho,ID,United States of America,/cities/coeur-dalene,,Jun,2015,https://newsroom.uber.com/idaho/uber-is-expanding-across-the-gem-state/,47.67,-116.78
Eastern Idaho,Idaho,ID,United States of America,/cities/eastern-idaho,,,,,43.5,-112.03
Champaign,Illinois,IL,United States of America,/cities/champaign,,Feb,2015,https://newsroom.uber.com/illinois/uber-is-rolling-into-champaign-urbana/,40.11,-88.24
Chicago,Illinois,IL,United States of America,/cities/chicago,,Sep,2011,http://techcrunch.com/2011/09/22/uber-brings-its-disruptive-car-service-to-chicago/,41.85,-87.65
Peoria & Bloomington-Normal,Illinois,IL,United States of America,/cities/peoria-il,,Nov,2015,https://newsroom.uber.com/illinois/peoria/,40.72,-89.61
Quad Cities,Iowa,IA,United States of America,/cities/quad-cities,,Jul,2015,https://newsroom.uber.com/iowa/quad_cities_launch/,41.58,-90.53
Rockford,Illinois,IL,United States of America,/cities/rockford,,Feb,2015,http://www.wifr.com/home/headlines/Ride-Sharing-Program-Uber-Launches-in-Rockford-292033211.html,42.27,-89.09
Springfield,Illinois,IL,United States of America,/cities/springfield-il,,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/,39.8,-89.64
Fort Wayne,Indiana,IN,United States of America,/cities/fort-wayne,,May,2015,http://wane.com/2015/05/07/uber-taxi-service-now-available-in-fort-wayne/,41.13,-85.12
Indianapolis,Indiana,IN,United States of America,/cities/indianapolis,,Jun,2013,https://newsroom.uber.com/indianapolis/hi-indianapolis-your-uber-is-arriving-now/,39.76,-86.15
NW Indiana,Indiana,IN,United States of America,/cities/nw-indiana,,May,2015,http://www.nwitimes.com/business/local/uber-announces-formal-launch-in-nwi/article_a831d8e3-d87d-5bc9-8218-8d6d806f9fe8.html,33.05,-71.62
South Bend,Indiana,IN,United States of America,/cities/south-bend,,Aug,2015,https://drive.uber.com/in/cities/south-bend/,41.68,-86.25
Ames,Iowa,IA,United States of America,/cities/ames,,Aug,2015,https://newsroom.uber.com/iowa/ames_launch/,42.03,-93.61
Cedar Rapids,Iowa,IA,United States of America,/cities/cedar-rapids,,Dec,2014,https://newsroom.uber.com/iowa/uber-launching-in-cedar-rapids-with-free-rides/,42,-91.64
Des Moines,Iowa,IA,United States of America,/cities/des-moines,,Sep,2014,https://newsroom.uber.com/uber-launching-des-moines-with-free-rides-for-a-week/,41.6,-93.6
Lawrence,Kansas,KS,United States of America,/cities/lawrence,,Apr,2015,http://www.kansas.com/news/politics-government/article19297086.html,38.97,-95.23
Topeka,Kansas,KS,United States of America,/cities/topeka,,Apr,2015,http://www2.ljworld.com/news/2015/apr/23/uber-expands-service-lawrence-other-kansas-cities/,39.04,-95.67
Wichita,Kansas,KS,United States of America,/cities/wichita,,Aug,2014,http://www.kake.com/home/headlines/Uber-arrives-in-Wichita-273053761.html,37.69,-97.33
Bowling Green,Kentucky,KY,United States of America,/cities/bowling-green-ky,,Aug,2015,https://newsroom.uber.com/ky/bowling-green-your-uber-is-arriving-now/,36.99,-86.44
Lexington,Kentucky,KY,United States of America,/cities/lexington,,Jun,2014,https://newsroom.uber.com/lexington/uber-lexington-launches-with-free-rides-for-2-weeks/,37.98,-84.47
Louisville,Kentucky,KY,United States of America,/cities/louisville,,Apr,2014,https://newsroom.uber.com/louisville/louisville-your-uber-is-arriving-now-2/,38.25,-85.75
Baton Rouge,Louisiana,LA,United States of America,/cities/baton-rouge,,Jul,2014,http://theadvocate.com/home/9697616-125/ride-share-service-launches-br-service,30.45,-91.15
Lafayette,Louisiana,LA,United States of America,/cities/lafayette-la,,Jan,2015,http://theadvocate.com/news/11470712-123/uber-launches-ride-share-service-in,30.22,-92.01
